,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.5,0.45,0.6,0.56,0.6,0.34,0.25,0.07,0.28,0.03,0.28,0.0,0.32,0.41
aime.csv,0.03,0.72,0.78,0.81,0.91,0.67,0.25,0.12,0.4,0.0,0.3,0.0,0.4,0.52
autoopencas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.51,0.0,0.0,0.0,0.0
barracudamvc.csv,0.27,0.7,0.79,0.75,0.93,0.61,0.25,0.12,0.37,0.15,0.3,0.22,0.3,0.52
empyrean.csv,0.0,0.39,0.8,0.28,0.45,0.02,0.43,0.2,0.0,0.0,0.42,0.0,0.0,0.09
encog-cs.csv,0.1,0.43,0.64,0.74,0.72,0.35,0.25,0.03,0.14,0.0,0.29,0.25,0.27,0.5
gbif-providertoolkit.csv,0.0,0.08,0.6,0.22,0.25,0.02,0.34,0.24,0.17,0.0,0.58,0.0,0.0,0.13
gogoego.csv,0.05,0.79,0.78,0.79,0.91,0.52,0.26,0.13,0.44,0.0,0.28,0.0,0.0,0.39
gpsmid.csv,0.29,0.89,0.79,0.67,0.64,0.64,0.34,0.18,0.37,0.0,0.29,0.25,0.27,0.47
jajuk.csv,0.29,0.72,0.79,0.79,0.91,0.8,0.27,0.13,0.47,0.11,0.3,0.25,0.37,0.5
k3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,0.2,0.74,0.72,0.88,0.89,0.65,0.24,0.13,0.39,0.42,0.29,0.25,0.29,0.51
sarasvati.csv,0.0,0.0,0.62,0.0,0.18,0.0,0.26,0.4,0.0,0.0,0.13,0.0,0.0,0.0
zorannt.csv,0.0,0.0,0.76,0.0,0.29,0.0,0.53,0.2,0.0,0.0,0.39,0.0,0.0,0.0
