,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.03,0.71,0.29,0.85,0.45,0.43,0.67,0.43,0.34,0.11,0.43,0.01,0.26,0.68
aime.csv,0.14,0.97,1.0,1.0,1.0,0.7,1.0,0.99,0.53,0.0,0.99,0.0,0.03,0.97
autoopencas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
barracudamvc.csv,0.56,0.97,0.97,0.96,0.65,0.81,1.0,0.98,0.86,0.57,0.99,0.79,0.96,0.97
empyrean.csv,0.0,0.03,0.34,0.0,0.25,0.0,0.23,0.21,0.0,0.0,0.3,0.0,0.0,0.01
encog-cs.csv,0.0,0.34,0.68,0.81,0.5,0.35,0.65,0.37,0.14,0.01,0.75,0.03,0.18,0.16
gbif-providertoolkit.csv,0.0,0.0,0.34,0.07,0.35,0.0,0.19,0.11,0.06,0.0,0.04,0.0,0.0,0.04
gogoego.csv,0.0,0.5,0.97,0.78,0.95,0.05,0.99,0.81,0.05,0.0,0.88,0.0,0.0,0.54
gpsmid.csv,0.16,0.16,0.74,0.48,0.55,0.21,0.6,0.49,0.21,0.04,0.76,0.11,0.26,0.28
jajuk.csv,0.34,0.92,0.95,1.0,1.0,0.18,0.93,0.84,0.62,0.21,0.99,0.15,0.44,0.92
k3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,0.96,0.79,0.82,0.33,0.85,0.72,0.99,0.91,1.0,1.0,1.0,0.99,0.99,0.51
sarasvati.csv,0.0,0.0,0.45,0.0,0.3,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0
zorannt.csv,0.0,0.0,0.45,0.0,0.1,0.0,0.01,0.04,0.0,0.0,0.22,0.0,0.0,0.0
