,agilitybook.csv,gpsmid.csv,empyrean.csv,rectracker.csv,barracudamvc.csv,jajuk.csv,zorannt.csv,sarasvati.csv,gogoego.csv,autoopencas.csv,gbif-providertoolkit.csv,k3d.csv,aime.csv,encog-cs.csv
agilitybook.csv,0.44,0.41,0.52,0.36,0.48,0.33,0.57,0.3,0.38,0.02,0.51,0.0,0.47,0.5
aime.csv,0.04,0.13,0.0,0.0,0.0,0.64,0.0,0.05,0.6,0.0,0.05,0.0,0.34,0.13
autoopencas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.48,0.0,0.0,0.0,0.0
barracudamvc.csv,0.63,0.13,0.13,0.17,0.72,0.5,0.0,0.09,0.42,0.22,0.05,0.48,0.17,0.13
empyrean.csv,0.0,0.28,0.77,0.19,0.34,0.01,0.67,0.49,0.0,0.0,0.65,0.0,0.0,0.06
encog-cs.csv,0.06,0.39,0.54,0.49,0.58,0.34,0.58,0.11,0.13,0.0,0.55,0.2,0.33,0.47
gbif-providertoolkit.csv,0.0,0.05,0.53,0.15,0.18,0.01,0.47,0.41,0.13,0.0,0.55,0.0,0.0,0.1
gogoego.csv,0.04,0.78,0.13,0.55,0.21,0.42,0.05,0.52,0.38,0.0,0.39,0.0,0.0,0.47
gpsmid.csv,0.39,0.89,0.61,0.6,0.5,0.61,0.73,0.73,0.41,0.0,0.54,0.27,0.4,0.49
jajuk.csv,0.57,0.3,0.21,0.0,0.0,0.8,0.27,0.47,0.7,0.11,0.05,0.31,0.67,0.29
k3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,0.17,0.55,0.48,0.85,0.46,0.61,0.05,0.33,0.0,0.0,0.0,0.05,0.05,0.61
sarasvati.csv,0.0,0.0,0.57,0.0,0.12,0.0,0.26,0.32,0.0,0.0,0.09,0.0,0.0,0.0
zorannt.csv,0.0,0.0,0.71,0.0,0.2,0.0,0.44,0.21,0.0,0.0,0.54,0.0,0.0,0.0
