,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,kmess.csv,rocrail.csv
kmess.csv,0.8,0.88,0.8,0.85,0.44,0.39
minig.csv,0.36,0.51,0.48,0.46,0.52,0.81
ossbuild.csv,0.83,0.55,0.61,0.99,0.52,0.44
rezilla.csv,0.56,0.94,0.91,0.76,0.45,0.43
rocrail.csv,0.75,0.34,0.39,0.35,0.36,0.38
webdriver.csv,0.89,0.5,0.52,0.0,0.41,0.44
