,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.6,0.08,0.25,0.06,0.45,0.12,1.0,0.22,0.27,0.27,0.47,0.23,0.56
bscwweasel.csv,0.0,1.0,0.64,1.0,0.71,0.12,0.62,0.24,0.0,0.61,0.0,0.74,0.8
capcode.csv,0.1,0.09,0.17,0.22,0.25,1.0,0.78,0.53,0.21,0.28,0.43,0.22,0.76
emite.csv,0.37,0.1,0.21,0.11,0.27,0.0,0.72,0.19,0.5,0.26,0.94,0.28,0.46
geogebra.csv,1.0,0.17,0.23,0.11,0.26,0.16,0.67,0.26,0.35,0.27,0.37,0.99,0.62
hibernate.csv,1.0,0.12,0.23,0.1,0.41,0.0,0.8,0.42,0.25,0.99,1.0,0.31,0.83
lamp.csv,1.0,0.93,0.36,0.33,0.45,0.12,0.92,1.0,0.67,0.45,0.5,0.52,0.84
nodal.csv,0.5,0.11,0.26,0.11,0.38,0.14,0.57,0.25,1.0,0.33,0.45,0.44,0.57
retromenu.csv,0.0,0.11,0.49,0.47,0.95,0.2,0.88,0.73,0.32,0.48,0.5,0.45,0.92
smbopensoft.csv,0.97,0.14,0.35,0.16,0.37,0.21,0.77,0.24,0.4,0.38,0.45,0.37,0.74
stuproa-cims.csv,0.49,0.29,0.19,0.16,0.33,0.17,0.74,1.0,0.27,0.39,0.36,0.32,0.68
thout.csv,0.56,0.11,0.93,0.08,0.33,0.13,0.75,0.25,0.26,0.28,0.42,0.21,0.61
uface.csv,0.49,0.1,0.25,0.2,0.36,0.18,0.75,0.28,0.27,0.3,0.51,0.25,1.0
