,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.04,0.24,0.36,0.28,0.52,0.47,0.99,0.4,0.51,0.53,0.6,0.28,0.31
bscwweasel.csv,0.0,0.09,0.24,0.96,0.28,0.2,0.09,0.16,0.0,0.11,0.0,0.23,0.05
capcode.csv,0.04,0.33,0.43,0.44,0.06,0.86,0.27,0.18,0.37,0.13,0.22,0.26,0.24
emite.csv,0.18,0.5,0.23,0.23,0.17,0.0,0.49,0.16,0.11,0.26,0.99,0.35,0.13
geogebra.csv,0.07,0.17,0.47,0.35,0.37,0.53,0.13,0.05,0.67,0.43,0.28,0.95,0.0
hibernate.csv,0.12,0.17,0.55,0.44,0.54,0.0,0.21,0.24,0.3,0.95,0.07,0.45,0.36
lamp.csv,0.01,0.94,0.13,0.18,0.28,0.2,0.12,0.06,0.4,0.2,0.04,0.41,0.18
nodal.csv,0.01,0.56,0.51,0.51,0.33,0.37,0.05,0.28,0.93,0.36,0.19,0.47,0.22
retromenu.csv,0.0,0.4,0.46,0.45,1.0,0.53,0.16,0.18,0.39,0.33,0.12,0.6,0.13
smbopensoft.csv,0.95,0.58,0.62,0.62,0.64,0.72,0.48,0.44,0.3,0.54,0.19,0.69,0.41
stuproa-cims.csv,0.5,0.34,0.47,0.48,0.55,0.61,0.36,0.98,0.55,0.55,0.41,0.7,0.58
thout.csv,0.42,0.59,0.92,0.33,0.53,0.46,0.58,0.36,0.53,0.52,0.52,0.52,0.46
uface.csv,0.0,0.13,0.44,0.78,0.52,0.57,0.35,0.56,0.53,0.56,0.67,0.54,0.99
