,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.02,0.28,0.28,0.53,0.27,0.62,0.0,0.5,0.51,0.64,0.68,0.22,0.44
bscwweasel.csv,0.0,0.0,0.03,0.0,0.04,0.21,0.13,0.15,0.0,0.02,0.0,0.02,0.02
capcode.csv,0.25,0.3,0.65,0.2,0.07,0.0,0.18,0.05,0.49,0.11,0.2,0.21,0.13
emite.csv,0.25,0.5,0.23,0.23,0.18,0.25,0.54,0.19,0.03,0.25,0.05,0.22,0.26
geogebra.csv,0.0,0.08,0.82,0.89,0.87,0.8,0.15,0.99,0.51,0.85,0.92,0.0,1.0
hibernate.csv,0.0,0.11,0.65,0.58,0.36,0.2,0.13,0.1,0.29,0.0,0.0,0.26,0.13
lamp.csv,0.0,0.01,0.06,0.04,0.13,0.21,0.03,0.0,0.06,0.08,0.02,0.1,0.06
nodal.csv,0.01,0.48,0.43,0.6,0.22,0.34,0.08,0.27,0.0,0.26,0.15,0.15,0.3
retromenu.csv,0.0,0.32,0.13,0.06,0.02,0.34,0.05,0.02,0.27,0.12,0.08,0.19,0.02
smbopensoft.csv,0.03,0.38,0.34,0.47,0.6,0.52,0.38,0.48,0.14,0.34,0.15,0.33,0.26
stuproa-cims.csv,0.8,0.08,0.63,0.35,0.76,0.54,0.31,0.0,0.7,0.32,0.52,0.45,0.63
thout.csv,0.28,0.54,0.02,0.46,0.78,0.82,0.69,0.89,0.73,0.75,0.75,0.72,0.76
uface.csv,1.0,0.97,0.86,0.54,0.82,0.79,0.9,0.75,0.75,0.73,0.6,0.8,0.0
