,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.8,0.72,0.75,0.62,0.55,0.5,0.46,0.53,0.45,0.58,0.41,0.88,0.76
bscwweasel.csv,0.0,0.0,0.93,0.95,0.86,0.71,0.92,0.97,0.0,0.96,0.0,0.96,0.8
capcode.csv,0.97,0.88,0.7,0.89,0.75,0.9,0.88,0.93,0.46,0.98,0.86,0.99,0.93
emite.csv,0.95,0.49,0.86,0.92,0.91,0.94,0.59,0.97,0.75,0.94,0.52,0.74,0.96
geogebra.csv,0.83,0.92,0.57,0.51,0.42,0.44,0.94,0.36,0.53,0.51,0.44,0.77,0.48
hibernate.csv,0.9,0.94,0.59,0.75,0.56,0.86,0.96,0.96,0.62,0.74,0.5,0.68,0.71
lamp.csv,0.0,0.93,0.93,0.89,0.91,0.76,0.92,0.67,0.92,0.98,0.5,0.81,0.95
nodal.csv,0.5,0.56,0.71,0.64,0.81,0.61,0.86,0.81,0.76,0.74,0.91,0.77,0.92
retromenu.csv,0.0,0.5,0.59,0.94,0.5,0.43,0.94,0.91,0.52,0.77,0.83,0.56,0.92
smbopensoft.csv,0.43,0.49,0.48,0.54,0.37,0.4,0.53,0.52,0.93,0.51,0.91,0.49,0.61
stuproa-cims.csv,0.33,0.93,0.64,0.59,0.41,0.41,0.55,0.78,0.35,0.6,0.67,0.49,0.49
thout.csv,0.65,0.62,0.77,0.74,0.37,0.4,0.51,0.39,0.44,0.55,0.48,0.52,0.55
uface.csv,0.27,0.4,0.47,0.48,0.34,0.38,0.4,0.36,0.34,0.41,0.33,0.4,0.37
