,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.97,0.04,0.23,0.0,0.01,0.28,0.7
fluent-nhibernate.csv,0.29,0.59,0.38,0.24,0.56,0.91,0.36
geogebra.csv,0.29,0.52,0.54,0.45,0.68,0.81,0.52
hibernate.csv,0.7,0.65,0.59,0.59,0.62,0.44,0.66
ninject.csv,0.5,0.67,0.47,0.97,0.56,0.62,0.54
poormans.csv,0.0,0.77,0.37,0.65,0.67,0.64,0.19
uface.csv,0.64,0.67,0.62,0.7,0.69,0.67,0.94
