,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.42,0.5,0.46,0.7,0.19,0.64,0.64
java-gnome.csv,0.24,0.33,0.15,0.29,0.77,0.31,0.0
mb-unit.csv,0.67,0.67,0.75,0.52,0.45,0.58,0.51
mecat.csv,0.43,0.1,0.13,0.34,0.06,0.4,0.97
rodin-b-sharp.csv,0.0,0.3,0.83,0.4,0.78,0.27,0.33
unicase.csv,0.91,0.26,0.64,0.71,0.64,0.73,0.41
wpdev.csv,0.99,0.05,0.0,0.26,0.0,0.05,0.3
