,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.72,0.26,0.72,0.94
freelords.csv,0.58,0.28,0.74,0.74
jfreereport.csv,0.13,0.31,0.41,0.57
super-tux.csv,0.61,0.27,0.44,0.95
