,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv
baadengine.csv,1.0,1.0,1.0,0.96,0.0,0.49,0.98,1.0,0.95,0.85,1.0,0.98,1.0,0.0,1.0,1.0,1.0,0.99,,0.96
elmo.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.03,0.0,0.02,,0.0,0.01,0.0,0.04
encog-java.csv,1.0,0.0,0.42,0.0,0.0,0.0,0.0,,0.0,0.0,0.64,0.22,0.01,0.0,0.79,0.2,0.5,0.0,0.0,0.65
google-collections.csv,1.0,1.0,1.0,0.97,0.0,0.49,0.85,0.93,0.95,0.59,1.0,0.98,1.0,0.45,1.0,1.0,1.0,,1.0,1.0
gtad.csv,1.0,,0.5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.73,0.37,0.0,0.0,0.9,0.6,0.85,0.01,0.0,0.85
guineu.csv,0.0,1.0,0.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18,0.77,0.97,1.0,0.02,0.4,0.4,0.96,1.0,
h2database.csv,1.0,1.0,1.0,1.0,0.0,0.18,0.88,1.0,1.0,0.65,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.96,1.0
jahshaka.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.62,0.0,0.2,0.0,0.0,0.31
jahshakafx.csv,1.0,1.0,1.0,0.9,0.0,0.26,0.61,1.0,1.0,,1.0,0.92,1.0,0.0,1.0,1.0,1.0,0.88,0.54,1.0
jedit.csv,1.0,1.0,1.0,0.98,0.0,,1.0,1.0,1.0,0.99,1.0,0.97,1.0,0.4,1.0,1.0,1.0,1.0,0.96,1.0
jmoney.csv,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.2,0.0,0.0,0.95,0.2,,0.0,0.0,0.73
ktc.csv,1.0,1.0,1.0,1.0,,0.98,0.98,1.0,1.0,0.98,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
net-snmp.csv,0.0,1.0,1.0,0.62,0.0,0.25,,1.0,0.95,0.28,1.0,0.73,0.84,0.02,0.95,1.0,1.0,0.72,0.49,0.96
owlib.csv,1.0,1.0,0.83,,0.0,0.05,0.46,0.7,0.37,0.81,0.82,0.67,0.56,0.04,0.83,0.8,0.85,0.49,0.2,0.81
paintown.csv,1.0,1.0,1.0,0.19,0.0,0.0,0.0,0.18,0.79,0.01,1.0,0.73,,0.0,0.88,0.4,0.25,0.32,0.02,0.54
rhex.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.12,0.0,0.0,0.76,0.0,0.25,0.04,0.0,0.15
selenium.csv,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.06,0.0,1.0,0.2,1.0,0.15,0.0,1.0
umber.csv,1.0,1.0,1.0,0.29,0.0,0.0,0.0,0.64,,0.0,1.0,0.77,0.84,0.0,1.0,1.0,1.0,0.95,0.03,0.92
x4x.csv,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,,1.0,0.55,0.06,0.0,0.42
