,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.45,0.82,0.67,0.69,0.64,0.88,0.5,0.54,0.71,0.43,1.0,0.85
gmerlin.csv,0.87,1.0,0.5,0.0,0.88,0.0,0.66,0.75,0.0,0.96,0.0,1.0
google-gears.csv,0.77,0.73,0.63,0.82,0.83,0.86,0.34,0.73,0.76,0.52,0.78,0.96
gstreamer.csv,0.81,0.77,0.75,0.87,0.86,0.85,0.62,0.66,0.7,0.65,0.57,1.0
lportal.csv,0.06,0.09,0.04,0.04,0.09,0.74,0.03,0.0,0.41,0.04,0.56,0.11
metacosm.csv,0.35,0.55,0.45,0.15,0.44,0.74,0.28,0.29,0.31,0.43,0.34,0.74
mplayer-ce.csv,1.0,0.91,0.88,0.79,0.48,0.96,0.69,0.79,0.47,0.74,0.55,0.96
openmeetings.csv,0.48,0.91,0.36,0.32,0.41,0.44,0.34,0.21,0.37,0.65,0.65,0.56
qgis.csv,0.48,0.45,0.64,0.0,0.6,0.64,0.38,0.26,0.81,0.57,0.03,0.56
skia.csv,0.71,0.64,0.42,0.63,0.64,0.26,0.34,0.38,0.28,0.7,0.35,0.3
wxcrp.csv,0.48,0.77,0.65,0.74,0.82,0.83,0.84,0.53,0.86,0.57,0.79,0.74
yafdotnet.csv,0.71,0.86,0.63,0.36,0.72,0.89,0.56,0.45,0.39,0.52,0.38,0.81
