,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.27,0.25,0.0,0.03,0.18
dynalloy.csv,0.01,0.55,0.12,0.53,0.49
findbugs.csv,0.43,0.38,0.25,0.34,0.0
runuomondains.csv,0.24,0.36,0.03,0.0,0.09
xbplayer.csv,0.25,0.01,0.13,0.1,0.13
