,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.42,0.45,1.0,0.0,0.68
dynalloy.csv,0.98,0.38,0.33,0.16,0.41
findbugs.csv,0.44,0.29,0.35,0.23,1.0
runuomondains.csv,0.31,0.34,0.6,1.0,0.64
xbplayer.csv,0.3,0.98,0.25,0.33,0.6
