,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.72,0.32,0.68,0.7,0.89,0.53,0.75,0.22,0.2,0.57,0.37,0.66,0.82,0.81
exordium.csv,0.95,0.11,0.41,0.1,0.79,0.47,0.5,0.67,0.61,0.49,0.2,0.55,0.37,0.44
google-caja.csv,0.9,0.32,0.63,0.75,0.63,1.0,0.75,0.82,1.0,0.84,0.49,0.65,0.58,0.76
hydrogen.csv,1.0,0.0,1.0,1.0,0.0,0.98,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.15,0.21,0.47,0.75,0.58,0.42,0.56,0.08,0.03,0.1,0.08,0.46,0.74,0.69
kvs.csv,0.0,0.0,0.32,0.75,0.0,0.22,0.0,0.51,0.4,0.25,0.11,0.11,0.06,0.19
megameknet.csv,0.46,0.42,0.53,0.8,0.89,0.67,0.44,0.88,0.48,0.65,0.37,0.72,0.88,0.7
ns-3-dev-def-routing.csv,1.0,0.32,0.42,0.1,0.63,0.69,0.56,0.49,0.59,0.67,0.35,0.56,0.54,0.25
open-ms.csv,0.23,0.16,0.47,0.75,0.42,0.36,0.62,0.46,0.43,0.51,0.18,0.44,0.44,0.57
openmsx.csv,0.33,0.89,0.29,1.0,1.0,0.67,0.88,0.58,0.89,0.81,0.54,0.65,0.97,0.26
rezilla.csv,0.21,0.63,0.73,0.75,0.26,0.11,0.5,0.08,0.36,0.25,0.72,0.52,0.68,0.7
sauerbraten.csv,0.74,0.84,0.9,1.0,1.0,0.96,1.0,0.49,0.89,0.97,0.91,0.96,0.96,0.97
webdriver.csv,0.95,0.16,0.43,0.45,0.68,0.73,0.81,0.33,0.53,0.74,0.31,0.66,0.56,0.56
yafdotnet.csv,0.54,0.16,0.51,0.8,0.47,0.47,0.62,0.71,0.69,0.68,0.28,0.57,0.52,0.75
