,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.82,0.3,0.0,0.33,0.57,0.67,0.11,0.17,0.32,0.23,0.35,0.5,0.41,0.72,0.0,0.0,0.53,0.41
bionote.csv,0.72,0.1,0.35,0.0,0.32,0.19,0.11,0.42,0.1,0.06,0.12,0.64,0.97,0.51,0.32,0.15,0.25,0.61
buddata-ebxml-registry.csv,0.0,0.13,0.3,0.0,0.21,0.24,0.13,0.17,0.13,0.4,0.24,0.17,0.63,0.17,0.7,0.0,0.94,0.3
bullet.csv,0.56,0.54,0.34,0.31,0.73,0.44,0.64,0.45,0.6,0.75,0.46,0.56,0.24,0.57,0.46,0.46,0.28,0.62
bulmages.csv,0.0,0.0,0.0,0.05,0.23,0.45,0.0,0.79,0.01,0.05,0.47,0.3,0.0,0.61,0.07,0.11,0.01,0.62
bwapi.csv,0.0,0.58,0.57,0.58,0.0,0.0,0.05,0.21,0.51,0.62,0.77,0.09,0.09,0.09,0.0,0.0,0.0,0.0
cubefs.csv,0.0,0.09,0.12,0.29,0.43,0.3,0.0,0.12,0.7,0.23,0.22,0.51,0.41,0.27,0.59,0.39,0.64,0.07
emisview.csv,0.0,0.05,0.4,0.74,0.04,0.19,0.0,0.0,0.28,0.0,0.01,0.42,0.64,0.0,0.17,0.15,0.32,0.1
java-gnome.csv,0.42,0.48,0.34,0.34,0.28,0.36,0.55,0.22,0.1,0.86,0.18,0.3,0.66,0.27,0.38,0.12,0.25,0.39
jgameai.csv,0.42,0.52,0.18,0.16,0.25,0.24,0.39,0.27,0.11,0.15,0.45,0.05,0.14,0.3,0.33,0.28,0.07,0.16
megasquirtavr.csv,0.4,0.5,0.55,0.35,0.46,0.37,0.42,0.53,0.0,0.0,0.31,0.53,0.36,0.2,0.64,0.17,0.46,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.62,0.18,0.47,0.3,0.46,0.0,0.3,0.47,0.52,0.47,0.1,0.66,0.82,0.51,0.56,0.41,0.26,0.47
mptvseries.csv,0.71,0.18,0.29,0.44,0.44,0.73,0.43,0.41,0.2,0.02,0.18,0.47,0.55,0.44,0.13,0.69,0.23,0.35
oorexx.csv,0.29,0.18,0.46,0.3,0.57,0.3,0.39,0.57,0.1,0.14,0.47,0.3,0.29,0.64,0.17,0.33,0.35,0.75
somap.csv,0.58,0.46,0.13,0.65,0.35,0.32,0.09,0.3,0.6,0.24,0.52,0.4,0.47,0.24,0.88,0.72,0.0,0.17
tktoolkit.csv,0.13,0.14,0.18,0.17,0.69,0.53,0.53,0.17,0.49,0.56,0.49,0.56,0.17,0.66,0.51,0.49,0.43,0.66
xharbour.csv,0.78,0.49,0.72,0.61,0.36,0.62,0.63,0.59,0.0,0.43,0.41,0.62,0.71,0.66,0.0,0.0,0.51,0.5
