,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.33,0.76,0.56,0.5,0.4,0.6,0.86,0.75,0.47,0.8,0.67,0.55,0.75,0.64,0.4,0.37,0.58,0.5
bionote.csv,0.35,0.83,0.78,0.75,0.52,0.67,0.95,0.45,0.88,0.75,0.92,0.39,0.56,0.63,0.62,0.86,0.76,0.4
buddata-ebxml-registry.csv,0.39,0.47,0.53,0.3,0.37,0.35,0.4,0.43,0.42,0.37,0.49,0.35,0.39,0.43,0.35,0.31,0.34,0.37
bullet.csv,0.34,0.53,0.88,0.34,0.38,0.55,0.39,0.52,0.47,0.38,0.58,0.43,0.38,0.52,0.52,0.5,0.94,0.46
bulmages.csv,0.0,0.0,0.55,0.8,0.94,0.61,0.0,0.46,0.5,0.67,0.69,0.94,0.83,0.49,0.75,0.8,0.5,0.4
bwapi.csv,0.39,0.51,0.51,0.5,0.38,0.35,0.4,0.45,0.51,0.39,0.63,0.36,0.37,0.42,0.34,0.34,0.49,0.38
cubefs.csv,0.39,0.49,0.5,0.34,0.57,0.8,0.4,0.95,0.49,0.41,0.94,0.38,0.37,0.96,0.47,0.55,0.4,0.86
emisview.csv,0.0,0.88,0.6,0.53,0.67,0.77,0.0,0.0,0.65,0.5,0.0,0.66,0.68,0.0,0.9,0.86,0.65,0.67
java-gnome.csv,0.59,0.78,0.96,0.77,0.89,0.5,0.79,0.96,0.86,0.43,0.74,0.74,0.69,0.76,0.58,0.83,0.8,0.74
jgameai.csv,0.8,0.81,0.96,0.94,0.96,0.81,0.98,0.98,0.86,0.86,0.83,0.91,0.91,0.84,0.91,0.86,0.75,0.94
megasquirtavr.csv,0.56,0.58,0.68,0.5,0.58,0.88,0.65,0.43,0.42,0.4,0.64,0.5,0.47,0.97,0.47,0.88,0.55,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.3,0.85,0.49,0.8,0.38,0.67,0.61,0.46,0.49,0.47,0.91,0.47,0.54,0.44,0.53,0.62,0.8,0.42
mptvseries.csv,0.33,0.67,0.88,0.81,0.56,0.48,0.75,0.56,0.79,0.0,0.7,0.56,0.8,0.68,0.91,0.38,0.77,0.67
oorexx.csv,0.6,0.68,0.58,0.94,0.43,0.73,0.57,0.47,0.91,0.9,0.6,0.81,0.91,0.51,0.91,0.69,0.71,0.43
somap.csv,0.39,0.47,0.53,0.33,0.35,0.59,0.39,0.45,0.47,0.36,0.5,0.35,0.4,0.45,0.37,0.36,0.37,0.39
tktoolkit.csv,0.91,0.64,0.92,0.32,0.44,0.35,0.74,0.83,0.4,0.46,0.63,0.37,0.36,0.47,0.43,0.48,0.59,0.46
xharbour.csv,0.36,0.54,0.56,0.38,0.58,0.44,0.54,0.48,0.41,0.58,0.55,0.4,0.61,0.48,0.33,0.35,0.41,0.41
