,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.85,0.47,0.96,0.91,0.5,0.78,0.0,0.47,0.67,0.92
bibedt.csv,0.96,0.51,0.9,0.89,0.75,0.65,0.83,0.39,0.69,0.47
cascading.csv,0.44,0.36,0.6,0.67,0.0,0.56,0.5,0.73,0.45,0.43
firebreath.csv,0.53,0.47,0.52,0.71,0.0,0.58,0.6,0.68,0.42,0.5
fritzing.csv,0.47,0.41,0.52,0.54,0.88,0.44,0.78,0.35,0.56,0.49
httpcontentparser.csv,0.97,0.0,0.62,0.83,0.8,0.59,0.42,0.56,0.56,0.71
mpgravity.csv,0.42,0.75,0.42,0.42,0.5,0.47,0.4,0.35,0.38,0.44
patterntesting.csv,0.43,0.4,0.42,0.58,0.86,0.46,0.44,0.35,0.4,0.41
roller.csv,0.55,0.65,0.45,0.6,0.68,0.48,0.47,0.42,0.39,0.46
xfce.csv,0.95,0.34,0.44,0.51,0.0,0.48,0.36,0.38,0.44,0.4
