,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.47,0.07,0.36,0.0,0.87,0.77,0.52,0.37,0.46,0.49
chaperon.csv,0.37,0.33,0.33,0.99,0.34,0.39,0.3,0.12,0.61,0.51
geotools.csv,0.63,0.55,0.48,0.27,0.0,0.77,0.61,0.6,0.32,0.58
l2j.csv,0.65,0.45,0.36,0.67,0.31,0.62,0.43,0.17,0.71,0.61
mule.csv,0.68,0.07,0.24,0.54,0.58,0.64,0.52,0.42,0.2,0.75
nunit.csv,0.44,0.58,0.32,0.49,0.23,0.49,0.55,0.51,0.48,0.64
primefaces.csv,0.37,0.58,0.09,0.61,0.5,0.0,0.62,0.8,0.65,0.58
springside.csv,0.64,0.74,0.47,0.64,0.64,0.82,0.68,0.52,0.52,0.71
swtfox.csv,0.1,0.34,0.66,0.27,0.33,0.22,0.39,0.33,0.09,0.61
twostep.csv,0.63,0.7,0.61,0.51,0.58,0.78,0.62,0.44,0.48,0.62
