,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.64,0.94,0.97,1.03,0.16,0.4,0.58,0.83,0.73,0.62
chaperon.csv,0.71,0.74,0.82,0.06,0.98,0.68,0.76,0.91,0.48,0.61
geotools.csv,0.65,0.78,0.83,0.95,1.0,0.54,0.51,0.73,0.75,0.73
l2j.csv,0.66,0.83,0.73,0.6,0.77,0.45,0.74,0.97,0.49,0.65
mule.csv,0.5,0.94,0.82,0.53,0.48,0.48,0.66,0.71,0.83,0.36
nunit.csv,0.68,0.58,0.9,0.75,0.84,0.63,0.6,0.76,0.63,0.45
primefaces.csv,0.9,0.77,0.98,0.69,0.82,1.01,0.66,0.31,0.51,0.72
springside.csv,0.58,0.4,0.81,0.65,0.41,0.43,0.65,0.8,0.57,0.56
swtfox.csv,0.93,0.91,0.41,0.96,0.99,0.82,0.84,0.95,0.93,0.66
twostep.csv,0.62,0.55,0.63,0.66,0.48,0.29,0.63,0.65,0.62,0.7
