,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.43,0.06,0.48,0.0,0.84,0.81,0.48,0.35,0.44,0.45
chaperon.csv,0.33,0.29,0.3,1.0,0.38,0.35,0.26,0.1,0.58,0.48
geotools.csv,0.72,0.76,0.82,0.25,0.98,0.92,0.59,0.8,0.28,0.75
l2j.csv,0.81,0.49,0.32,0.75,0.27,0.58,0.4,0.92,0.75,0.68
mule.csv,0.71,0.06,0.2,0.5,0.52,0.62,0.51,0.38,0.17,0.75
nunit.csv,0.41,0.57,0.3,0.5,0.2,0.46,0.53,0.57,0.45,0.62
primefaces.csv,0.94,0.9,1.0,0.75,0.66,0.88,0.72,0.82,0.66,0.68
springside.csv,0.69,0.76,0.52,0.75,0.59,0.92,0.86,0.8,0.48,0.82
swtfox.csv,0.08,0.84,0.62,0.25,0.36,0.19,0.38,0.68,0.07,0.68
twostep.csv,0.7,0.78,0.65,0.5,0.52,0.77,0.69,0.4,0.44,0.78
