,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.06,0.24,0.0,0.0,0.45
freenet.csv,0.35,0.03,0.25,0.59,0.67
mediaportal.csv,0.82,0.69,0.62,0.26,0.02
onotoa.csv,0.47,0.69,0.0,0.74,0.33
sqlpower-library.csv,0.0,0.36,0.19,0.44,0.38
