,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.61,0.57,0.91,0.04,0.53
freenet.csv,0.59,0.03,0.55,0.72,0.71
mediaportal.csv,0.88,0.85,0.69,0.72,0.21
onotoa.csv,0.56,0.74,0.0,0.78,0.8
sqlpower-library.csv,0.04,0.8,0.83,0.66,0.74
