,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.39,0.48,0.09,0.96,0.71
freenet.csv,0.52,0.99,0.51,0.59,0.78
mediaportal.csv,0.7,0.49,0.72,0.33,0.79
onotoa.csv,0.7,0.71,1.0,0.74,0.28
sqlpower-library.csv,0.96,0.29,0.19,0.52,0.37
