,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.62,0.22,0.0,0.0,1.0,1.0,0.19,0.5,0.32,0.26,0.43,0.17,0.17,0.11,0.04,0.19
elateportal.csv,1.0,0.74,0.46,0.53,0.5,0.92,0.86,0.85,0.83,0.63,0.46,0.0,0.83,0.67,0.19,0.27
gmerlin.csv,0.62,1.0,0.0,0.0,0.0,1.0,0.21,0.0,0.3,0.66,0.0,1.0,0.78,0.0,0.02,0.92
gretl.csv,0.88,0.48,0.07,0.37,1.0,0.24,0.61,0.46,0.77,0.54,0.72,0.67,0.39,0.67,0.45,0.61
illumination.csv,0.04,0.74,0.0,0.0,0.0,0.95,0.03,0.0,0.0,0.14,0.0,1.0,0.89,0.0,0.01,0.98
mpgravity.csv,0.96,0.96,0.24,0.23,1.0,0.97,0.5,0.69,0.65,0.83,0.45,0.83,0.78,0.0,0.57,0.64
nativeclient.csv,0.17,0.22,0.76,0.23,0.5,0.21,0.17,0.19,0.32,0.49,0.54,0.33,0.28,0.33,0.27,0.19
natpad.csv,0.75,0.22,0.02,0.37,1.0,0.66,0.44,0.31,0.44,0.43,0.41,0.0,0.17,0.89,0.21,0.33
ogre.csv,0.12,0.48,1.0,0.6,0.0,0.16,0.43,0.81,0.61,0.85,0.77,1.0,0.78,0.22,0.83,0.7
open-ms.csv,0.17,0.13,0.46,0.17,1.0,0.21,0.18,0.62,0.45,0.4,0.33,0.67,0.33,0.22,0.15,0.17
openmsx.csv,0.04,0.39,0.39,0.0,0.0,0.89,0.31,0.27,0.38,0.58,0.04,0.83,0.83,0.0,0.18,0.53
oppna-program-hsatools.csv,0.12,0.13,1.0,0.47,1.0,0.26,0.19,0.85,0.5,0.58,0.83,0.83,0.61,0.22,0.94,0.81
sandiaportals.csv,0.96,0.52,0.07,0.43,0.5,0.92,0.44,0.15,0.44,0.43,0.45,0.0,0.22,0.78,0.32,0.38
sauerbraten.csv,0.38,0.48,1.0,1.0,1.0,0.68,0.98,1.0,1.0,0.85,0.97,0.83,1.0,1.0,1.0,1.0
yarp.csv,0.21,0.57,0.0,0.0,0.5,0.29,0.02,0.0,0.0,0.26,0.19,0.0,0.0,0.0,0.0,0.0
zemljanka.csv,0.96,0.96,0.17,0.67,0.5,0.95,0.74,0.77,0.68,0.82,0.77,1.0,0.89,0.0,0.85,0.75
