,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.32,0.64,0.0,0.62,0.43,0.46,0.65,0.32,0.56,0.7,0.53,0.5,0.36,0.93,0.95,0.55
elateportal.csv,0.33,0.53,0.37,0.38,0.45,0.45,0.44,0.36,0.36,0.38,0.46,0.31,0.4,0.47,0.76,0.51
gmerlin.csv,0.29,0.38,0.0,0.0,0.0,0.46,0.6,0.0,0.44,0.33,0.0,0.3,0.38,0.0,0.92,0.42
gretl.csv,0.34,0.47,0.86,0.41,0.49,0.73,0.51,0.41,0.37,0.5,0.44,0.9,0.4,0.46,0.56,0.39
illumination.csv,0.5,0.4,0.0,0.0,0.0,0.48,0.75,0.0,0.0,0.7,0.0,0.3,0.5,0.0,0.83,0.43
mpgravity.csv,0.32,0.41,0.56,0.41,0.79,0.47,0.48,0.34,0.41,0.35,0.55,0.29,0.38,0.67,0.53,0.44
nativeclient.csv,0.59,0.49,0.38,0.41,0.55,0.62,0.8,0.48,0.61,0.44,0.54,0.83,0.44,0.7,0.59,0.44
natpad.csv,0.33,0.95,0.5,0.4,0.6,0.46,0.55,0.5,0.52,0.47,0.5,0.73,0.42,0.41,0.62,0.39
ogre.csv,0.83,0.41,0.38,0.62,0.45,0.9,0.64,0.4,0.48,0.38,0.47,0.3,0.49,0.72,0.52,0.5
open-ms.csv,0.73,0.43,0.33,0.4,0.41,0.5,0.69,0.29,0.38,0.42,0.51,0.3,0.36,0.44,0.52,0.47
openmsx.csv,0.8,0.49,0.89,0.0,0.98,0.45,0.69,0.68,0.66,0.52,0.94,0.31,0.45,0.0,0.98,0.73
oppna-program-hsatools.csv,0.91,0.45,0.38,0.39,0.45,0.6,0.71,0.33,0.42,0.47,0.45,0.69,0.45,0.47,0.5,0.52
sandiaportals.csv,0.33,0.83,0.83,0.5,0.96,0.5,0.66,0.95,0.62,0.7,0.59,0.0,0.44,0.72,0.75,0.47
sauerbraten.csv,0.4,0.39,0.38,0.44,0.42,0.44,0.41,0.36,0.37,0.38,0.39,0.3,0.39,0.45,0.49,0.43
yarp.csv,0.92,0.75,0.0,0.0,0.9,0.57,0.75,0.75,0.0,0.81,0.99,0.0,0.0,0.0,0.0,0.0
zemljanka.csv,0.37,0.4,0.86,0.47,0.49,0.46,0.43,0.36,0.4,0.39,0.44,0.31,0.46,0.47,0.53,0.43
