,id,expected,max_bell,avge,median,bellwether,size
56,2,1,2,1.5,0.845,mclient-mume.csv,2
53,3,2,3,1.57,0.53,jam-daq.csv,7
51,4,6,7,3.5,0.545,mp-rechnungs-und-kundenverwaltung.csv,18
58,5,2,3,2.0,0.575,mule.csv,6
25,6,6,8,5.84,0.57,dsworkbench.csv,19
20,7,3,3,1.78,0.48,matrex.csv,9
31,8,4,5,3.08,0.4,haggle.csv,13
28,10,0,0,0.0,0.11,atunes.csv,1
19,11,1,1,0.5,0.44500000000000006,fluent-nhibernate.csv,4
57,13,1,2,1.0,0.72,amanda.csv,3
59,14,6,7,5.47,0.45,cascading.csv,20
52,15,5,5,3.71,0.55,openmeetings.csv,14
22,16,3,5,3.44,0.71,cortex-vfx.csv,9
27,17,7,6,3.65,0.56,phonon-vlc-mplayer.csv,20
17,18,1,0,0.67,0.24,yale.csv,3
29,19,3,5,3.3,0.645,amateur-scrolls.csv,10
16,20,2,1,0.6,0.315,fm-classic.csv,6
32,21,3,1,2.33,0.5,ultimairis.csv,9
30,26,2,2,0.57,0.57,h2database.csv,7
18,27,4,4,2.45,0.59,retromenu.csv,11
26,28,5,6,4.21,0.56,algebsql.csv,14
21,29,6,13,8.59,0.76,fbmanager.csv,18
37,31,4,4,2.27,0.55,igarden.csv,11
6,32,3,5,2.9,0.605,m-a-d-n-e-s-s.csv,10
15,33,7,12,4.8,0.685,omseek.csv,20
14,34,6,10,5.76,0.67,customwars.csv,17
7,35,6,10,7.44,0.715,emeraldemu.csv,18
36,36,2,4,3.71,0.75,sepgsql.csv,7
42,37,5,5,4.0,0.585,owlib.csv,16
35,38,2,2,1.29,0.325,rtb-team.csv,8
43,39,4,3,1.83,0.515,autowikibrowser.csv,12
54,40,2,2,1.0,0.36,adaptagrams.csv,6
49,41,6,11,8.41,0.88,genoviz.csv,17
23,42,3,5,2.62,0.675,projecteqemu.csv,8
34,43,2,1,0.4,0.59,rezilla.csv,5
33,44,2,3,1.2,0.67,tolven.csv,5
24,45,2,4,1.71,0.79,modellus.csv,7
48,46,4,5,2.67,0.565,jcae.csv,12
55,47,5,10,6.33,0.77,biodwh.csv,15
50,48,2,3,2.29,0.65,ftm.csv,7
3,50,3,4,3.7,0.54,openwbem.csv,11
10,51,5,4,3.2,0.495,mia.csv,16
44,52,1,2,1.33,0.69,pdfedit.csv,3
41,53,4,2,1.64,0.25,jaxen.csv,13
40,54,3,1,1.62,0.43999999999999995,optalgtoolkit.csv,8
45,55,6,8,4.11,0.61,opengs.csv,18
9,56,5,5,5.0,0.44,rohxel.csv,15
5,57,1,1,1.0,0.51,papertoolkit.csv,2
11,58,1,0,0.25,0.42000000000000004,nassp.csv,4
1,59,4,3,3.17,0.45999999999999996,flylinkdc.csv,12
13,60,2,3,1.5,0.655,chaosrts.csv,6
0,61,3,4,4.0,0.63,alembik.csv,10
39,62,1,1,1.0,0.63,silvertree.csv,2
46,63,0,0,0.0,0.48,jrdf.csv,1
47,64,4,7,5.83,0.76,codesmith.csv,12
38,65,6,7,5.12,0.6,skia.csv,17
2,66,3,2,1.5,0.475,adobe-source.csv,10
12,67,5,9,7.0,0.79,elvishrayrenderer.csv,16
4,68,4,4,2.73,0.54,pfaedit.csv,12
8,69,3,4,2.67,0.43,stemkit.csv,9
