,f1,g,recall,precision,pf,cdom,bellwether
1,0.64,0.425,0.39,0.415,0.43,6.0,beast-mcmc.csv
9,0.55,0.835,0.51,0.615,0.615,1.0,atunes.csv
12,0.52,0.63,0.56,0.46499999999999997,0.47,8.0,openmeetings.csv
25,0.6950000000000001,0.685,0.585,0.505,0.505,3.0,galaxium.csv
30,0.865,0.52,0.48,0.47,0.5,17.0,critterding.csv
49,0.545,0.72,0.45,0.46,0.47,19.0,openwbem.csv
22,0.8200000000000001,0.665,0.605,0.605,0.605,1.0,magicwars.csv
23,0.61,0.43,0.42,0.44,0.455,3.0,turbotrader-bos.csv
24,0.7,0.6,0.5,0.5449999999999999,0.5,0.0,xmemcached.csv
