,id,expected,max_bell,avge,median,bellwether,size
56,2,1,2,1.5,0.925,logicmail.csv,2
53,3,2,7,4.57,1.0,benojt.csv,7
51,4,6,16,7.5,0.98,libopenmetaverse.csv,18
58,5,2,4,1.83,0.755,springside.csv,6
25,6,6,19,7.95,1.0,google-collections.csv,19
20,7,3,8,3.56,0.93,jsidplay2.csv,9
31,8,4,10,3.85,0.74,emono.csv,13
28,10,0,1,1.0,0.82,atunes.csv,1
19,11,1,3,2.25,0.8400000000000001,gpsmid.csv,4
57,13,1,0,0.67,0.62,amanda.csv,3
59,14,6,19,7.89,0.98,werx.csv,20
52,15,5,10,4.79,0.85,gebr.csv,14
22,16,3,8,3.89,1.0,enlightenment.csv,9
27,17,7,20,10.1,0.95,arianne.csv,20
17,18,1,2,1.67,0.69,yale.csv,3
29,19,3,7,3.7,0.83,knowledge.csv,10
16,20,2,4,2.2,0.8200000000000001,voms.csv,6
32,21,3,7,3.89,0.94,ultimairis.csv,9
30,26,2,5,2.0,0.77,galaxium.csv,7
18,27,4,9,4.36,0.91,uface.csv,11
26,28,5,13,5.14,0.94,somap.csv,14
21,29,6,17,9.47,0.935,itext.csv,18
37,31,4,7,3.36,0.71,heekscad.csv,11
6,32,3,7,2.6,0.855,st-filteredstatistics.csv,10
15,33,7,19,9.6,0.975,sylpheed-claws.csv,20
14,34,6,14,7.47,0.92,mpgravity.csv,17
7,35,6,17,9.17,0.9,maya-work-in-progress.csv,18
36,36,2,6,2.86,0.87,libtorrent.csv,7
42,37,5,15,6.75,0.975,zengine.csv,16
35,38,2,7,2.86,0.93,apolloplayer.csv,8
43,39,4,10,7.25,1.0,hydrogen.csv,12
54,40,2,2,1.83,0.61,adaptagrams.csv,6
49,41,6,16,8.65,1.0,irrlicht.csv,17
23,42,3,6,3.62,0.81,genecys.csv,8
34,43,2,3,1.6,0.72,minig.csv,5
33,44,2,5,2.6,0.97,pcgen.csv,5
24,45,2,7,2.43,0.9,sumatrapdf.csv,7
48,46,4,11,5.83,0.92,mscore.csv,12
55,47,5,14,7.13,0.88,modplug.csv,15
50,48,2,6,3.0,0.82,mimosa.csv,7
3,50,3,10,5.7,0.9,ivataopenportal.csv,11
10,51,5,15,7.67,0.89,fontforge.csv,16
44,52,1,3,2.0,0.86,rectracker.csv,3
41,53,4,10,5.64,1.0,nh3d.csv,13
40,54,3,7,2.5,0.9099999999999999,abbot.csv,8
45,55,6,15,7.61,0.91,scite-ru.csv,18
9,56,5,15,7.36,1.0,sevenupdate.csv,15
5,57,1,2,1.5,0.865,jmol.csv,2
11,58,1,2,1.25,0.6950000000000001,n2cms.csv,4
1,59,4,9,3.67,0.72,vdsf.csv,12
13,60,2,5,2.17,0.7949999999999999,lazarus-ccr.csv,6
0,61,3,10,3.9,0.9450000000000001,barracudamvc.csv,10
39,62,1,2,2.0,0.86,silvertree.csv,2
46,63,0,1,1.0,0.87,jrdf.csv,1
47,64,4,12,5.42,1.0,wpdev.csv,12
38,65,6,16,6.47,1.0,soar.csv,17
2,66,3,6,2.9,0.73,rebecca-aiml.csv,10
12,67,5,15,7.94,0.98,megasquirtavr.csv,16
4,68,4,8,3.55,0.77,tktoolkit.csv,12
8,69,3,9,3.33,0.97,buddata-ebxml-registry.csv,9
