,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.62,0.66,0.08,0.75,0.82,0.87,0.77
ifmo-game-1.csv,0.92,1.0,1.0,0.0,1.0,1.0,0.78
knowledge.csv,0.0,0.65,0.68,0.94,0.54,1.0,0.91
pentahoanalysistool.csv,0.74,0.07,0.88,0.87,1.01,0.9,0.82
projecteqemu.csv,0.45,0.58,0.98,0.63,1.0,0.77,0.03
sumatrapdf.csv,0.45,0.57,0.89,0.83,0.62,0.1,0.72
voms.csv,0.89,0.89,0.94,0.88,0.0,0.82,1.0
