,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.54,0.3,0.3,0.37,0.38,0.45,0.34,0.49,0.12,0.17,0.68,0.55,0.51,0.5,0.27,0.73,0.26
emeraldemu.csv,0.56,0.31,0.16,0.25,0.27,0.32,0.48,0.66,0.47,0.68,0.61,0.33,0.45,0.05,0.67,0.21,0.19
grafx2.csv,0.65,0.31,0.17,0.34,0.45,0.5,0.49,0.6,0.47,0.68,0.61,0.45,0.72,0.74,0.83,0.84,0.24
jahshakafx.csv,0.65,0.33,0.18,0.36,0.5,0.3,0.48,0.58,0.51,0.58,0.62,0.19,0.63,0.6,0.73,0.71,0.21
kindb.csv,0.61,0.23,0.15,0.35,0.59,0.38,0.49,0.57,0.53,0.49,0.53,0.07,0.77,0.66,0.7,0.87,0.23
maya-work-in-progress.csv,0.54,0.3,0.18,0.39,0.88,0.63,0.46,0.55,0.56,0.77,0.68,0.53,0.82,0.79,0.78,0.84,0.08
novembre.csv,0.61,0.28,0.04,0.13,0.31,0.41,0.59,0.41,0.56,0.58,0.48,0.43,0.27,0.59,0.62,0.78,0.21
ns-3.csv,0.55,0.31,0.11,0.09,0.67,0.72,0.45,0.23,0.52,0.52,0.6,0.42,0.8,0.64,0.59,0.75,0.07
nullc.csv,0.45,0.21,0.11,0.22,0.75,0.54,0.49,0.51,0.48,0.49,0.62,0.42,0.73,0.65,0.71,0.64,0.19
open-beos.csv,0.62,0.32,0.23,0.34,0.59,0.56,0.48,0.51,0.63,0.63,0.39,0.43,0.7,0.72,0.81,0.81,0.11
pixel-commandos.csv,0.07,0.22,0.09,0.18,0.25,0.27,0.5,0.31,0.22,0.17,0.11,0.0,0.27,0.45,0.59,0.47,0.57
planeshift.csv,0.47,0.23,0.13,0.21,0.77,0.66,0.41,0.55,0.55,0.72,0.6,0.45,0.79,0.74,0.82,0.82,0.12
plee-the-bear.csv,0.65,0.29,0.29,0.11,0.53,0.6,0.4,0.4,0.56,0.7,0.59,0.46,0.69,0.58,0.65,0.68,0.14
reaper-ecad.csv,0.57,0.33,0.19,0.42,0.48,0.21,0.36,0.5,0.37,0.06,0.35,0.0,0.52,0.42,0.57,0.42,0.5
sbml.csv,0.43,0.29,0.15,0.28,0.77,0.68,0.41,0.48,0.59,0.53,0.63,0.43,0.85,0.79,0.84,0.81,0.11
unimrcp.csv,0.54,0.27,0.18,0.31,0.6,0.58,0.45,0.57,0.52,0.62,0.63,0.61,0.68,0.57,0.71,0.79,0.11
unladen-swallow.csv,0.4,0.3,0.24,0.06,0.3,0.49,0.37,0.41,0.48,0.52,0.38,0.53,0.58,0.55,0.33,0.55,0.1
