,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.53,0.42,0.57,0.0,0.41,0.5,0.86,0.49,0.0,0.73,0.4,0.63,0.58,0.4,0.55,0.36,0.39,0.43,0.57
boost.csv,0.43,0.56,0.47,0.48,0.59,0.6,0.4,0.57,0.54,0.36,0.44,0.4,0.62,0.52,0.56,0.83,0.54,0.58,0.45
codepurge.csv,0.86,0.61,0.54,0.38,0.75,0.55,0.52,0.96,0.42,0.47,0.41,0.94,0.62,0.68,0.59,0.8,0.8,0.8,0.51
elateportal.csv,0.68,0.52,0.46,0.51,0.66,0.49,0.4,0.59,0.52,0.65,0.46,0.41,0.47,0.65,0.53,0.3,0.42,0.46,0.42
etics.csv,0.5,0.73,0.48,0.53,0.86,0.69,0.54,0.85,0.45,0.55,0.52,0.88,0.86,0.92,0.86,0.5,0.48,0.52,0.66
factor.csv,0.68,0.96,0.65,0.64,0.88,0.74,0.6,0.7,0.81,0.9,0.92,0.89,0.96,0.91,0.81,0.0,0.46,0.51,0.97
gusanos.csv,0.5,0.47,0.4,0.4,0.56,0.41,0.38,0.44,0.4,0.48,0.39,0.35,0.47,0.43,0.41,0.34,0.5,0.43,0.39
kvs.csv,0.5,0.65,0.95,0.56,0.59,0.83,0.96,0.52,0.51,0.5,0.61,0.37,0.5,0.71,0.92,0.57,0.5,0.71,0.88
lcfizvtop.csv,0.48,0.49,0.42,0.41,0.66,0.63,0.35,0.44,0.42,0.79,0.5,0.35,0.4,0.53,0.49,0.3,0.47,0.86,0.43
mcore3d.csv,0.86,0.62,0.42,0.46,0.37,0.62,0.47,0.97,0.54,0.33,0.5,0.43,0.68,0.5,0.43,0.67,0.36,0.67,0.42
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.67,0.42,0.53,0.46,0.91,0.65,0.51,0.5,0.74,0.72,0.5,0.47,0.8,0.48
modplug.csv,0.38,0.47,0.41,0.42,0.35,0.43,0.38,0.46,0.42,0.4,0.41,0.35,0.43,0.45,0.44,0.33,0.41,0.42,0.39
passwordsafe.csv,0.43,0.57,0.47,0.53,0.56,0.52,0.47,0.52,0.5,0.43,0.49,0.41,0.57,0.6,0.53,0.75,0.42,0.52,0.59
pixel-commandos.csv,0.59,0.76,0.89,0.72,0.5,0.89,0.0,0.97,0.0,0.39,0.86,0.94,0.82,0.8,0.9,0.0,0.67,0.0,0.99
projecteqemu.csv,0.55,0.68,0.71,0.44,0.75,0.75,0.74,0.79,0.62,0.45,0.52,0.41,0.81,0.63,0.9,0.0,0.75,0.75,0.77
pydev.csv,0.5,0.55,0.64,0.55,0.39,0.47,0.93,0.79,0.58,0.36,0.43,0.48,0.78,0.43,0.5,0.83,0.5,0.42,0.63
sandiaportals.csv,0.48,0.59,0.46,0.49,0.88,0.56,0.43,0.63,0.5,0.49,0.56,0.45,0.48,0.63,0.65,0.0,0.45,0.51,0.45
uwom.csv,0.55,0.83,0.59,0.44,0.5,0.56,0.43,0.61,0.92,0.42,0.61,0.48,0.92,0.69,0.91,0.8,0.0,0.54,0.6
xbplayer.csv,0.86,0.57,0.53,0.53,0.75,0.73,0.5,0.46,0.47,0.75,0.43,0.36,0.51,0.8,0.57,0.54,0.55,0.5,0.45
