,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.19,0.35,0.33,0.0,0.8,0.44,0.0,0.77,0.0,0.04,0.58,0.25,0.44,0.64,0.3,0.33,0.89,0.52,0.25
boost.csv,0.43,0.32,0.49,0.25,0.43,0.25,0.29,0.32,0.14,0.69,0.42,0.52,0.32,0.31,0.24,0.33,0.0,0.17,0.51
codepurge.csv,0.07,0.38,0.23,0.47,0.22,0.35,0.21,0.06,0.28,0.31,0.88,0.09,0.22,0.18,0.29,0.17,0.0,0.13,0.59
elateportal.csv,0.62,0.39,0.58,0.6,0.33,0.62,0.78,0.42,0.66,0.38,0.83,0.77,0.73,0.28,0.71,0.0,0.78,0.61,0.57
etics.csv,0.17,0.1,0.35,0.3,0.05,0.23,0.08,0.09,0.24,0.18,0.04,0.13,0.15,0.06,0.12,0.0,0.0,0.09,0.14
factor.csv,0.67,0.17,0.37,0.29,0.09,0.35,0.41,0.32,0.45,0.16,0.0,0.12,0.14,0.04,0.29,0.0,0.17,0.17,0.1
gusanos.csv,0.52,0.35,0.56,0.64,0.26,0.71,0.47,0.6,0.24,0.44,0.38,0.67,0.63,0.46,0.6,0.5,0.0,0.48,0.75
kvs.csv,0.26,0.26,0.07,0.41,0.17,0.1,0.19,0.29,0.41,0.36,0.21,0.58,0.01,0.28,0.13,0.5,0.11,0.61,0.21
lcfizvtop.csv,0.52,0.6,0.47,0.98,0.26,0.21,0.43,0.92,0.97,0.36,0.54,0.57,0.98,0.43,0.76,0.17,0.44,0.22,0.79
mcore3d.csv,0.07,0.17,0.51,0.23,0.82,0.25,0.45,0.04,0.14,0.56,0.25,0.58,0.23,0.24,0.37,0.0,0.39,0.22,0.45
modellus.csv,0.12,0.2,0.35,0.54,0.07,0.27,0.2,0.44,0.41,0.24,0.04,0.38,0.7,0.13,0.16,0.0,0.0,0.04,0.37
modplug.csv,1.0,0.77,0.95,0.91,0.79,0.75,0.86,0.74,0.86,0.89,0.17,1.0,0.93,0.83,0.68,0.67,0.72,0.65,0.91
passwordsafe.csv,0.81,0.37,0.61,0.35,0.41,0.5,0.27,0.61,0.48,0.53,0.17,0.62,0.49,0.22,0.31,0.33,0.33,0.17,0.21
pixel-commandos.csv,0.29,0.17,0.19,0.16,0.03,0.17,0.0,0.07,0.0,0.33,0.08,0.16,0.26,0.1,0.07,0.0,0.0,0.0,0.15
projecteqemu.csv,0.31,0.12,0.18,0.52,0.03,0.06,0.12,0.12,0.1,0.31,0.08,0.84,0.21,0.13,0.1,0.0,0.0,0.04,0.12
pydev.csv,0.26,0.17,0.14,0.19,0.61,0.21,0.1,0.09,0.14,0.47,0.08,0.25,0.11,0.24,0.25,0.17,0.22,0.57,0.14
sandiaportals.csv,0.81,0.3,0.68,0.58,0.08,0.4,0.66,0.39,0.69,0.44,0.12,0.77,0.75,0.25,0.44,0.0,0.17,0.26,0.6
uwom.csv,0.26,0.1,0.32,0.63,0.03,0.46,0.38,0.35,0.0,0.73,0.12,0.42,0.08,0.15,0.12,0.17,0.0,0.26,0.26
xbplayer.csv,0.07,0.23,0.21,0.25,0.01,0.19,0.19,0.38,0.21,0.07,0.54,0.61,0.33,0.09,0.27,0.33,0.0,0.22,0.36
