,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.93,0.81,0.9,0.5,0.76,0.53,0.03,0.64,0.85,0.97,0.93,0.72,1.01,0.95,0.64
cme.csv,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0
hydrate.csv,0.8,0.88,0.82,1.0,0.88,1.01,0.97,0.25,0.83,0.93,0.53,0.89,0.8,0.06,0.29
ivef-sdk.csv,0.56,0.48,0.71,0.65,0.69,0.0,0.7,1.0,0.83,0.77,0.71,0.89,1.03,1.0,0.63
jmri.csv,0.63,0.78,0.05,0.92,0.59,0.46,0.84,0.93,0.61,0.65,0.68,0.98,0.83,0.8,0.63
jython.csv,0.83,0.87,0.74,0.8,0.96,0.26,0.92,0.0,0.94,0.74,0.73,0.72,1.0,0.84,0.9
kdenlive.csv,0.03,0.57,0.67,0.7,0.67,0.18,0.93,0.25,0.51,0.67,0.65,0.79,0.54,0.68,0.61
ninject.csv,0.94,0.88,0.71,1.0,0.93,1.01,0.94,1.0,0.9,0.85,0.88,0.89,0.2,0.52,1.03
ondex.csv,0.99,0.93,0.83,1.0,0.89,0.88,0.94,0.48,0.87,0.66,0.03,0.94,1.0,0.88,1.03
opentibia.csv,0.67,0.04,0.83,0.82,0.74,0.55,0.47,1.07,0.73,0.82,0.96,0.62,0.7,0.72,0.65
projectfactory.csv,0.72,0.77,0.66,0.98,0.66,0.91,0.72,0.23,0.76,0.03,0.77,0.91,0.6,0.85,0.65
taverna.csv,0.8,0.72,0.8,0.73,0.04,1.19,0.64,0.95,0.76,0.69,0.89,0.77,0.86,0.89,0.73
tigermud.csv,1.0,0.76,0.94,0.38,0.67,0.23,0.6,0.95,0.93,0.89,0.78,0.2,0.77,0.69,1.05
unbvision.csv,0.75,0.82,0.74,0.73,0.9,0.1,0.93,0.17,0.0,0.67,0.65,0.83,0.82,0.85,0.67
x-ray-mule.csv,0.77,0.84,0.76,0.06,0.74,0.96,0.91,0.77,0.98,0.81,0.76,0.72,0.97,0.77,1.02
