,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.35,0.32,0.18,0.67,0.32,0.76,0.98,0.52,0.25,0.05,0.11,0.43,0.0,0.11,0.21
cme.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0
hydrate.csv,0.33,0.21,0.28,0.0,0.19,0.03,0.06,0.55,0.27,0.13,0.37,0.2,0.22,0.97,0.4
ivef-sdk.csv,0.71,0.73,0.53,0.82,0.52,1.0,0.62,0.0,0.34,0.59,0.25,0.25,0.08,0.0,0.2
jmri.csv,0.56,0.54,0.97,0.3,0.52,0.69,0.35,0.17,0.41,0.51,0.27,0.58,0.11,0.55,0.23
jython.csv,0.74,0.81,0.63,0.76,0.44,0.89,0.63,1.0,0.42,0.59,0.29,0.77,0.15,0.6,0.18
kdenlive.csv,0.99,0.81,0.47,0.59,0.41,0.91,0.2,0.52,0.48,0.52,0.28,0.45,0.21,0.58,0.21
ninject.csv,0.12,0.23,0.53,0.0,0.11,0.0,0.11,0.18,0.16,0.62,0.17,0.22,0.89,0.69,0.0
ondex.csv,0.05,0.13,0.34,0.0,0.18,0.21,0.11,0.43,0.19,0.52,0.98,0.11,0.0,0.21,0.0
opentibia.csv,0.8,0.98,0.29,0.7,0.34,0.61,0.64,0.12,0.35,0.31,0.07,0.81,0.15,0.53,0.2
projectfactory.csv,0.62,0.72,0.48,0.39,0.47,0.78,0.67,0.55,0.38,0.99,0.23,0.73,0.23,0.76,0.23
taverna.csv,0.5,0.45,0.32,0.42,0.96,0.12,0.52,0.09,0.29,0.44,0.13,0.37,0.08,0.21,0.14
tigermud.csv,0.43,0.51,0.32,0.78,0.45,0.87,0.68,0.2,0.13,0.19,0.23,0.89,0.14,0.7,0.0
unbvision.csv,0.64,0.56,0.58,0.52,0.16,0.94,0.2,0.62,1.0,0.53,0.29,0.35,0.12,0.26,0.19
x-ray-mule.csv,0.42,0.29,0.42,0.97,0.37,0.09,0.16,0.31,0.27,0.53,0.25,0.45,0.06,0.47,0.0
