,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.62,0.53,0.26,0.53,0.57,0.67,0.62,0.59,0.42,0.54,0.45,0.67,0.71,0.6,0.28,0.49,0.54,0.36,0.67,0.6
ardour.csv,0.62,0.55,0.39,0.61,0.17,0.42,0.76,0.73,0.53,0.38,0.32,0.51,0.73,0.53,0.37,0.3,0.63,0.4,0.62,0.58
arianne.csv,0.6,0.71,0.2,0.46,0.69,0.68,0.84,0.69,0.32,0.51,0.32,0.77,0.71,0.66,0.27,0.24,0.63,0.32,0.73,0.64
bacnet.csv,0.58,0.35,0.32,0.49,0.65,0.49,0.7,0.74,0.44,0.56,0.36,0.42,0.72,0.4,0.4,0.15,0.54,0.34,0.69,0.46
cortex-vfx.csv,0.56,0.48,0.28,0.58,0.17,0.54,0.4,0.44,0.5,0.4,0.36,0.22,0.65,0.45,0.37,0.51,0.58,0.44,0.53,0.66
emeraldemu.csv,0.59,0.62,0.27,0.66,0.22,0.07,0.37,0.05,0.54,0.05,0.0,0.02,0.58,0.53,0.28,0.0,0.54,0.4,0.1,0.66
fritzing.csv,0.74,0.48,0.34,0.56,0.72,0.64,0.68,0.75,0.54,0.41,0.34,0.46,0.72,0.58,0.36,0.0,0.57,0.34,0.61,0.52
gnupdate.csv,0.6,0.5,0.12,0.41,0.63,0.58,0.55,0.56,0.28,0.3,0.65,0.57,0.64,0.51,0.34,0.56,0.63,0.36,0.33,0.68
grafx2.csv,0.55,0.6,0.21,0.59,0.22,0.55,0.71,0.79,0.46,0.48,0.42,0.58,0.68,0.63,0.3,0.42,0.61,0.32,0.59,0.6
gstreamer.csv,0.62,0.59,0.2,0.46,0.65,0.55,0.78,0.49,0.29,0.35,0.28,0.74,0.7,0.65,0.35,0.78,0.62,0.34,0.74,0.6
keyczar.csv,0.02,0.19,0.1,0.09,0.18,0.24,0.37,0.23,0.07,0.17,0.09,0.55,0.04,0.14,0.0,0.78,0.21,0.0,0.28,0.14
linux-ntfs.csv,0.51,0.57,0.3,0.45,0.56,0.59,0.78,0.66,0.31,0.45,0.17,0.55,0.67,0.65,0.22,0.71,0.55,0.33,0.72,0.57
multitude.csv,0.66,0.65,0.22,0.45,0.68,0.61,0.73,0.58,0.35,0.43,0.34,0.73,0.73,0.7,0.38,0.83,0.59,0.36,0.59,0.66
planeshift.csv,0.65,0.64,0.23,0.54,0.67,0.7,0.75,0.72,0.39,0.56,0.32,0.75,0.7,0.67,0.26,0.84,0.61,0.36,0.73,0.61
rsyslog.csv,0.65,0.64,0.2,0.56,0.69,0.75,0.75,0.77,0.46,0.28,0.42,0.59,0.68,0.67,0.34,0.44,0.62,0.38,0.66,0.64
salasaga.csv,0.64,0.37,0.27,0.43,0.67,0.6,0.77,0.74,0.37,0.47,0.34,0.47,0.71,0.44,0.41,0.28,0.62,0.39,0.64,0.48
wow-qrsk.csv,0.23,0.57,0.3,0.58,0.25,0.14,0.2,0.46,0.57,0.4,0.43,0.17,0.18,0.21,0.31,0.0,0.15,0.4,0.41,0.54
xmoto.csv,0.44,0.46,0.34,0.51,0.68,0.68,0.65,0.7,0.54,0.41,0.3,0.65,0.69,0.58,0.27,0.67,0.72,0.36,0.73,0.65
xuggle.csv,0.63,0.56,0.43,0.49,0.62,0.65,0.81,0.74,0.51,0.51,0.29,0.65,0.7,0.61,0.4,0.3,0.42,0.34,0.7,0.48
yield.csv,0.66,0.69,0.32,0.57,0.75,0.72,0.76,0.76,0.46,0.51,0.46,0.65,0.72,0.69,0.34,0.65,0.64,0.38,0.71,0.56
