,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.37,0.44,0.18,0.33,0.31,0.64,0.17
freebios.csv,0.5,0.69,0.22,0.38,0.84,0.48,0.7
k3b.csv,0.9,0.94,0.35,0.33,0.53,0.86,0.85
loki-lib.csv,0.43,0.52,0.86,0.29,0.34,0.2,0.3
powerfolder.csv,0.37,0.21,0.08,0.25,0.28,0.1,0.15
quarkplusplus.csv,0.13,0.1,0.06,0.17,0.34,0.28,0.2
tzod.csv,0.27,0.33,0.39,0.38,0.12,0.21,0.24
