,f1,g,recall,precision,pf,wins
acdk.csv,0.395,0.45499999999999996,0.42500000000000004,0.605,0.18,9
amygdala.csv,0.405,0.4,0.435,0.585,0.32499999999999996,4
awemud.csv,0.545,0.555,0.645,0.505,0.41500000000000004,12
bullet.csv,0.48,0.46,0.47,0.44999999999999996,0.39,2
customwars.csv,0.475,0.45999999999999996,0.42,0.63,0.195,11
dvd-create.csv,0.55,0.55,0.645,0.485,0.565,8
gbif-indexingtoolkit.csv,0.44,0.425,0.385,0.585,0.355,3
go.csv,0.49,0.575,0.64,0.565,0.37,13
gss.csv,0.7,0.56,0.86,0.595,0.6799999999999999,15
kwave.csv,0.54,0.51,0.85,0.44999999999999996,0.78,5
lsb.csv,0.615,0.505,0.665,0.595,0.41500000000000004,14
mpgravity.csv,0.695,0.445,0.94,0.535,0.83,10
qcad2.csv,0.495,0.45999999999999996,0.43,0.54,0.29000000000000004,6
qtwin.csv,0.14500000000000002,0.135,0.11000000000000001,0.32499999999999996,0.08,0
roller.csv,0.6000000000000001,0.55,0.745,0.455,0.705,7
xinity.csv,0.39,0.33999999999999997,0.485,0.39,0.685,1
