,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.34,0.89,0.89,0.71,0.87,0.42,0.42,0.47,0.53,0.8,0.38,0.59,0.43,0.56,0.39,0.5
amygdala.csv,0.39,0.67,0.44,0.53,0.9,0.58,0.47,0.45,0.76,0.34,0.79,0.43,0.9,0.58,0.62,0.56
awemud.csv,0.38,0.39,0.39,0.78,0.34,0.44,0.4,0.36,0.65,0.83,0.33,0.44,0.42,0.35,0.31,0.56
bullet.csv,0.41,0.43,0.43,0.68,0.56,0.39,0.59,0.67,0.98,0.92,0.64,0.48,0.73,0.94,0.52,0.39
customwars.csv,0.35,0.53,0.47,0.93,0.72,0.4,0.47,0.43,0.52,0.0,0.51,0.47,0.42,0.43,0.27,0.47
dvd-create.csv,0.48,0.42,0.48,0.64,0.43,0.47,0.45,0.38,0.53,0.0,0.35,0.44,0.53,0.35,0.39,0.33
gbif-indexingtoolkit.csv,0.42,0.89,0.56,0.65,0.0,0.64,0.67,0.57,0.62,0.0,0.4,0.56,0.91,0.62,0.56,0.91
go.csv,0.48,0.46,0.58,0.75,0.83,0.41,0.45,0.35,0.52,0.0,0.35,0.51,0.73,0.41,0.34,0.5
gss.csv,0.36,0.39,0.37,0.48,0.37,0.33,0.43,0.35,0.48,0.86,0.32,0.37,0.41,0.33,0.29,0.41
kwave.csv,0.39,0.4,0.77,0.55,0.39,0.42,0.46,0.35,0.5,0.63,0.33,0.51,0.44,0.32,0.28,0.36
lsb.csv,0.32,0.47,0.42,0.53,0.4,0.45,0.49,0.5,0.61,0.0,0.35,0.42,0.53,0.48,0.31,0.35
mpgravity.csv,0.39,0.42,0.41,0.6,0.38,0.37,0.47,0.37,0.0,0.48,0.33,0.4,0.0,0.35,0.32,0.33
qcad2.csv,0.54,0.58,0.9,0.85,0.93,0.42,0.49,0.52,0.68,0.44,0.64,0.75,0.48,0.52,0.38,0.37
qtwin.csv,0.88,0.0,0.0,0.0,0.0,0.83,0.86,0.56,1.0,0.86,0.68,0.75,0.98,0.65,0.7,0.83
roller.csv,0.43,0.48,0.43,0.75,0.44,0.4,0.46,0.35,0.53,0.79,0.35,0.43,0.45,0.43,0.33,0.35
xinity.csv,0.98,0.43,0.96,0.64,0.49,0.74,0.7,0.52,0.65,0.38,0.83,0.86,0.53,0.62,0.39,0.48
