,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.58,0.2,0.19,0.27,0.2,0.4,0.62,0.45,1.0,0.25,0.71,0.32,0.8,0.36,0.46,0.47
amygdala.csv,0.59,0.04,0.44,0.47,0.12,0.3,0.46,0.73,0.17,0.92,0.29,0.76,0.24,0.59,0.37,0.43
awemud.csv,0.65,0.73,0.38,0.27,0.7,0.42,0.71,0.64,0.33,0.0,0.82,0.55,0.82,0.83,0.66,0.43
bullet.csv,0.65,0.72,0.56,0.8,0.42,0.69,0.5,0.27,0.17,0.0,0.29,0.71,0.36,0.11,0.44,0.77
customwars.csv,0.54,0.33,0.19,0.31,0.23,0.42,0.42,0.27,0.83,0.0,0.47,0.29,0.68,0.47,0.71,0.5
dvd-create.csv,0.47,0.84,0.44,0.58,0.78,0.61,0.9,0.73,0.5,0.0,0.88,0.68,0.53,0.72,0.56,0.9
gbif-indexingtoolkit.csv,0.74,0.1,0.38,0.49,0.0,0.36,0.4,0.82,0.83,0.0,0.82,0.45,0.39,0.36,0.37,0.3
go.csv,0.65,0.73,0.5,0.24,0.22,0.52,0.77,0.73,0.67,0.0,0.82,0.63,0.4,0.71,0.71,0.5
gss.csv,0.87,0.85,1.0,0.69,0.74,0.91,0.71,0.82,1.0,0.0,0.88,0.84,0.9,0.91,0.95,0.77
kwave.csv,0.87,1.0,0.56,1.0,1.0,0.61,0.96,0.73,0.67,0.58,0.82,0.63,0.91,0.87,0.95,0.83
lsb.csv,0.72,0.61,0.56,0.73,0.88,0.7,0.48,0.45,0.83,0.0,0.94,0.79,0.56,0.57,0.63,0.93
mpgravity.csv,0.95,0.71,0.5,0.8,0.86,0.76,1.0,1.0,0.0,1.0,1.0,0.97,0.0,0.99,0.93,0.97
qcad2.csv,0.41,0.37,0.19,0.36,0.19,0.46,0.79,0.45,0.83,0.58,0.41,0.34,0.69,0.4,0.63,0.8
qtwin.csv,0.08,0.0,0.0,0.0,0.0,0.04,0.08,0.45,1.0,0.17,0.29,0.08,0.14,0.4,0.32,0.17
roller.csv,0.85,0.75,0.56,0.38,0.74,0.76,0.92,0.73,0.5,0.42,0.88,0.89,0.94,0.71,0.73,0.87
xinity.csv,0.31,0.86,0.5,0.47,0.76,0.43,0.54,0.36,0.17,1.0,0.12,0.34,0.52,0.37,0.83,0.57
