,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.86,0.19,0.91,0.85,0.76,0.87,0.82,0.99,0.91,0.98
libtorrent.csv,0.67,0.75,0.72,0.57,0.83,0.39,0.66,0.66,0.66,0.77
mcmc-jags.csv,0.61,0.71,0.76,0.16,0.7,0.68,0.69,0.55,0.78,0.7
nebuladevice.csv,0.89,0.9,1.0,0.7,1.0,0.63,0.71,1.0,0.38,0.49
olap-navigator.csv,0.17,0.66,0.31,0.51,0.48,0.6,0.59,0.55,0.44,0.43
pidgin.csv,0.58,0.68,0.57,0.87,0.38,0.61,0.51,0.63,0.69,0.48
salasaga.csv,0.75,0.71,0.71,0.62,0.49,0.7,0.51,0.38,0.83,0.53
sepgsql.csv,0.4,0.68,0.34,0.74,0.47,0.65,0.56,0.56,0.94,0.26
xstore.csv,0.74,0.74,0.97,0.6,0.71,0.7,0.39,0.5,0.74,0.81
xtreemfs.csv,0.36,0.68,0.68,0.62,0.84,0.56,0.61,0.65,0.9,0.28
