,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.63,0.17,0.62,0.43,0.48,0.78,0.61,0.98,0.62,0.67
libtorrent.csv,0.67,0.47,0.72,0.5,0.83,0.28,0.63,0.59,0.65,0.77
mcmc-jags.csv,0.33,0.63,0.74,0.1,0.67,0.61,0.68,0.23,0.7,0.69
nebuladevice.csv,0.85,0.27,0.0,0.57,0.0,0.28,0.46,0.0,0.27,0.44
olap-navigator.csv,0.04,0.3,0.27,0.21,0.31,0.0,0.37,0.34,0.35,0.41
pidgin.csv,0.15,0.5,0.25,0.02,0.3,0.17,0.22,0.63,0.17,0.3
salasaga.csv,0.56,0.63,0.45,0.52,0.31,0.39,0.46,0.31,0.21,0.51
sepgsql.csv,0.04,0.4,0.29,0.07,0.34,0.0,0.32,0.25,0.06,0.13
xstore.csv,0.59,0.3,0.97,0.07,0.7,0.06,0.24,0.34,0.44,0.8
xtreemfs.csv,0.22,0.5,0.68,0.52,0.83,0.28,0.59,0.57,0.23,0.25
