,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.41,0.91,0.33,0.27,0.42,0.62,0.46,0.89,0.33,0.29
libtorrent.csv,0.9,0.41,0.96,0.73,0.96,0.72,0.8,0.71,0.87,0.95
mcmc-jags.csv,0.49,0.68,0.85,0.87,0.82,0.71,0.91,0.5,0.67,0.89
nebuladevice.csv,0.75,0.14,0.0,0.6,0.0,0.43,0.46,0.0,0.73,0.8
olap-navigator.csv,0.84,0.41,0.85,0.53,0.64,0.4,0.54,0.57,0.73,0.88
pidgin.csv,0.44,0.55,0.48,0.13,0.76,0.41,0.54,0.93,0.33,0.62
salasaga.csv,0.49,0.68,0.44,0.67,0.62,0.41,0.78,0.79,0.2,0.86
sepgsql.csv,0.61,0.45,0.81,0.27,0.68,0.35,0.54,0.5,0.07,0.77
xstore.csv,0.56,0.32,1.0,0.4,0.91,0.3,0.7,0.64,0.4,0.94
xtreemfs.csv,0.72,0.55,0.93,0.67,0.89,0.52,0.83,0.68,0.13,0.86
