,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.6,0.8,0.03,0.18,0.69,0.81,0.46,0.14,0.1,0.7
libtorrent.csv,0.75,0.39,0.06,0.34,0.75,0.93,0.59,0.18,0.22,0.87
mcmc-jags.csv,0.77,0.44,0.05,0.76,0.76,0.86,0.6,0.28,0.17,0.87
nebuladevice.csv,0.67,0.27,0.0,0.27,0.0,0.89,0.52,0.0,0.37,0.91
olap-navigator.csv,0.98,0.5,0.13,0.47,0.84,1.0,0.62,0.23,0.31,0.92
pidgin.csv,0.87,0.44,0.09,0.67,0.87,0.93,0.74,0.21,0.29,0.92
salasaga.csv,0.67,0.44,0.05,0.31,0.83,0.85,0.65,0.31,0.17,0.9
sepgsql.csv,0.97,0.45,0.12,0.57,0.83,1.0,0.66,0.26,0.2,0.97
xstore.csv,0.68,0.44,0.05,0.67,0.77,0.97,0.76,0.25,0.16,0.86
xtreemfs.csv,0.88,0.44,0.06,0.31,0.73,0.91,0.61,0.18,0.11,0.95
