,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.49,0.85,0.05,0.22,0.52,0.7,0.46,0.24,0.16,0.41
libtorrent.csv,0.82,0.4,0.11,0.47,0.84,0.81,0.68,0.28,0.35,0.91
mcmc-jags.csv,0.6,0.54,0.1,0.81,0.78,0.78,0.72,0.36,0.27,0.88
nebuladevice.csv,0.71,0.18,0.0,0.37,0.0,0.58,0.49,0.0,0.49,0.85
olap-navigator.csv,0.9,0.45,0.23,0.5,0.72,0.57,0.58,0.33,0.43,0.9
pidgin.csv,0.59,0.49,0.15,0.22,0.81,0.57,0.62,0.34,0.31,0.74
salasaga.csv,0.57,0.54,0.08,0.43,0.71,0.56,0.71,0.44,0.18,0.88
sepgsql.csv,0.75,0.45,0.21,0.36,0.75,0.52,0.6,0.35,0.1,0.86
xstore.csv,0.61,0.37,0.09,0.5,0.83,0.46,0.73,0.36,0.23,0.9
xtreemfs.csv,0.79,0.49,0.12,0.43,0.8,0.66,0.7,0.28,0.12,0.9
