,f1,g,recall,precision,pf,wins
bulmages.csv,0.26,0.23,0.19,0.31,0.11,1
codeblocks.csv,0.43,0.49,0.57,0.48,0.45,16
ctrlr.csv,0.36,0.37,0.33,0.48,0.28,9
free-evolution.csv,0.44,0.55,0.59,0.36,0.5,12
fulguro.csv,0.33,0.44,0.47,0.35,0.43,8
gisgraphy.csv,0.23,0.32,0.28,0.38,0.18,3
ipfire-wall.csv,0.29,0.31,0.31,0.5,0.26,7
jruby.csv,0.2,0.19,0.33,0.32,0.24,0
l2j.csv,0.44,0.58,0.58,0.38,0.49,15
ldview.csv,0.47,0.49,0.57,0.45,0.49,14
libmesh.csv,0.3,0.29,0.28,0.41,0.35,2
red5.csv,0.52,0.54,0.82,0.38,0.77,13
t-2.csv,0.39,0.4,0.36,0.38,0.4,6
tencompetence.csv,0.26,0.39,0.4,0.43,0.42,5
vdsf.csv,0.47,0.39,0.83,0.4,0.77,10
xbrlapi.csv,0.24,0.33,0.29,0.48,0.29,4
xcf.csv,0.44,0.53,0.52,0.39,0.45,11
