,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.45,0.18,0.47,1.0,0.08,0.45,0.17
chrysalis.csv,0.55,0.18,0.29,1.0,0.1,0.52,0.96
jahshaka.csv,0.48,1.0,0.75,1.0,0.11,0.59,0.12
jam-daq.csv,0.5,0.33,0.48,1.0,0.15,1.0,0.32
jatlas.csv,0.13,0.0,0.8,1.0,1.0,0.33,0.0
jedit.csv,1.0,0.27,0.49,1.0,0.05,0.51,0.29
open-media-library.csv,0.44,0.38,1.0,0.97,0.14,0.61,0.1
