,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.05,0.21,0.23,0.0,0.3,0.26,0.17,0.1,0.49,0.05,0.92
fceugc.csv,0.58,0.49,0.56,0.72,0.55,0.55,0.58,0.69,0.35,0.4,0.57
flexpay.csv,0.33,0.4,0.53,0.12,0.0,0.5,0.46,0.77,0.22,0.4,0.06
jstock.csv,0.14,0.49,0.43,0.33,0.23,0.16,0.37,0.89,0.18,0.22,0.46
keyczar.csv,0.12,0.24,0.1,0.12,0.15,0.1,0.16,0.18,0.1,0.75,0.09
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73,0.36,0.42,0.22,0.12
open-data-kit.csv,0.44,0.69,0.55,0.63,0.56,0.71,0.74,0.76,0.43,0.2,0.73
phet.csv,0.6,0.42,0.16,0.31,0.28,0.3,0.34,0.45,0.37,0.27,0.37
qtractor.csv,0.34,0.78,0.56,0.55,0.58,0.74,0.62,0.5,0.42,0.02,0.2
sumatrapdf.csv,0.24,0.73,0.13,0.48,0.74,0.7,0.38,0.77,0.38,0.71,0.58
synergyspace.csv,0.4,0.53,0.59,0.33,0.66,0.56,0.55,0.45,0.66,0.44,0.06
