,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.33,0.25,0.43,0.09,0.33,0.33,0.57,0.32,0.0,0.23,0.45,0.73,0.32
bacula.csv,0.68,0.65,0.63,0.55,0.54,0.72,0.64,0.67,0.63,0.68,0.54,0.05,0.56
elmo.csv,0.19,0.16,0.62,0.07,0.33,0.26,0.32,0.27,0.1,0.22,0.54,0.11,0.31
jajuk.csv,0.66,0.17,0.43,0.66,0.78,0.74,0.65,0.57,0.67,0.7,0.67,0.64,0.66
ktc.csv,0.75,0.52,0.44,0.71,0.71,0.63,0.6,0.2,0.66,0.66,0.57,0.37,0.6
neoengine.csv,0.55,0.46,0.13,0.68,0.71,0.68,0.55,0.75,0.3,0.47,0.71,0.5,0.68
omseek.csv,0.34,0.39,0.0,0.2,0.43,0.4,0.24,0.02,0.38,0.28,0.36,0.0,0.67
pcgen.csv,0.51,0.24,0.58,0.24,0.66,0.05,0.05,0.53,0.0,0.13,0.67,0.0,0.5
rosegarden.csv,0.76,0.66,0.6,0.53,0.74,0.63,0.61,0.2,0.58,0.72,0.65,0.56,0.68
selenium.csv,0.77,0.68,0.24,0.66,0.67,0.69,0.61,0.42,0.61,0.7,0.5,0.59,0.58
vapor.csv,0.0,0.5,0.33,0.51,0.4,0.51,0.6,0.52,0.3,0.1,0.0,0.06,0.64
zorannt.csv,0.45,0.57,0.6,0.27,0.59,0.68,0.5,0.54,0.65,0.21,0.6,0.26,0.54
zscreen.csv,0.68,0.59,0.24,0.59,0.42,0.53,0.66,0.75,0.25,0.64,0.54,0.0,0.62
