,ivatamasks.csv,mule.csv,adonthell.csv,libopenmetaverse.csv,decidr.csv,exist.csv,elynx.csv,runuomondains.csv
adonthell.csv,0.58,0.64,0.6,0.92,0.45,0.68,1.0,1.0
decidr.csv,0.69,0.74,0.77,0.78,0.72,0.99,1.0,1.0
exist.csv,0.87,0.99,0.72,0.81,0.93,0.77,1.0,0.75
ivatamasks.csv,0.74,0.81,0.6,0.78,0.78,0.71,1.0,1.0
libopenmetaverse.csv,1.0,1.0,0.83,0.58,1.0,0.49,0.0,0.25
mule.csv,0.52,0.73,0.23,0.72,0.23,0.26,0.0,1.0
runuomondains.csv,0.91,0.39,0.13,0.17,0.68,0.44,0.0,0.88
