,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.52,0.65,0.51,0.64,0.95
encog-java.csv,0.94,0.1,0.56,0.05,0.02
h2database.csv,0.13,0.95,0.07,0.13,0.02
jaql.csv,0.7,0.61,0.6,0.96,0.48
raven-monitoring.csv,0.53,0.32,0.88,0.37,0.36
