,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.31,0.5,0.97,0.15,0.47,0.49,0.13,0.58,0.58,0.76,0.18,0.39,0.57,0.29,0.5
autowikibrowser.csv,0.39,0.23,0.5,0.26,0.58,0.49,0.15,0.35,0.66,0.27,0.32,0.35,0.98,0.2,0.56
biodwh.csv,0.38,0.32,0.37,0.18,0.5,0.53,0.0,0.06,0.54,0.43,0.27,0.17,0.24,0.96,0.04
cities3d.csv,0.42,0.46,0.44,0.9,0.36,0.21,0.0,0.61,0.2,0.02,0.21,0.25,0.08,0.2,0.3
dynalloy.csv,0.44,0.96,0.45,0.21,0.89,0.57,0.09,0.63,0.56,0.69,0.35,0.19,0.57,0.43,0.59
enzo.csv,0.32,0.52,0.5,0.17,0.87,0.53,0.12,0.67,0.77,0.99,0.32,0.31,0.57,0.25,0.56
genecys.csv,0.31,0.56,0.53,0.17,0.99,0.62,0.19,0.54,0.75,0.82,0.3,0.21,0.62,0.29,0.57
kmatplot.csv,0.98,0.33,0.34,0.15,0.61,0.54,0.18,0.49,0.54,0.58,0.44,0.29,0.4,0.19,0.55
modplug.csv,0.33,0.45,0.48,0.21,0.91,0.62,0.18,0.64,0.99,0.88,0.36,0.3,0.6,0.33,0.62
nabu-library.csv,0.27,0.51,0.51,0.24,0.81,0.64,0.38,1.0,0.7,0.69,0.28,0.3,0.46,0.27,0.3
natpad.csv,0.4,0.43,0.41,0.29,0.85,0.54,0.27,0.56,0.56,0.55,0.35,0.38,0.49,0.14,0.98
nebuladevice.csv,0.29,0.25,0.29,0.37,0.36,0.24,0.14,0.07,0.35,0.18,0.19,0.89,0.29,0.15,0.45
ossbuild.csv,0.34,0.26,0.22,0.11,0.58,0.43,0.98,0.12,0.23,0.28,0.4,0.0,0.51,0.0,0.24
xemeiah.csv,0.48,0.38,0.45,0.3,0.61,0.96,0.07,0.41,0.49,0.45,0.36,0.38,0.54,0.26,0.55
xined.csv,0.39,0.27,0.36,0.32,0.27,0.23,0.34,0.47,0.33,0.11,0.95,0.17,0.17,0.27,0.48
