,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.93,0.76,0.92,0.93,0.88,0.98,0.17,0.98,0.93,0.98,0.75,0.85,0.81,0.98,0.98,0.91,0.8,0.73,0.86
autat.csv,0.93,0.77,0.96,0.96,0.06,0.9,0.76,0.6,0.86,0.76,0.79,0.77,0.72,0.94,0.9,0.75,0.95,0.3,0.79
critterding.csv,0.77,0.06,0.58,1.27,0.71,0.97,0.8,0.56,0.65,0.74,0.73,0.62,0.63,0.91,0.51,0.47,0.73,0.54,0.74
elateportal.csv,0.81,0.85,0.64,0.49,0.66,0.64,0.83,0.58,0.69,0.5,0.96,0.56,0.6,0.67,0.0,0.69,0.62,0.81,0.62
factor.csv,0.72,0.94,1.0,0.98,0.94,0.95,1.0,0.24,0.95,1.0,1.0,1.0,0.92,1.0,0.98,1.0,0.98,0.0,0.96
fceugc.csv,0.68,0.83,0.05,0.88,0.77,0.79,0.78,0.62,0.79,0.91,0.59,0.98,0.82,0.92,0.94,0.93,0.67,0.63,0.76
jstock.csv,0.64,0.91,0.95,0.92,0.57,0.77,1.0,0.75,0.85,0.98,0.85,0.0,0.97,0.7,0.98,0.84,0.83,0.95,0.91
keyczar.csv,0.71,0.91,0.75,0.57,0.9,0.58,0.74,0.77,0.7,0.39,0.89,0.94,0.67,0.02,0.69,0.7,0.65,0.99,0.85
mimosa.csv,0.69,0.88,0.75,0.6,0.86,0.0,0.87,0.6,0.82,0.51,0.81,0.74,0.71,0.87,0.69,0.95,0.62,0.89,0.74
miranda.csv,0.57,0.81,0.48,0.77,0.78,0.57,0.7,0.5,0.72,0.6,0.62,0.55,0.77,0.78,0.93,0.62,0.67,0.98,0.01
nativeclient.csv,0.69,0.73,0.65,1.11,0.81,0.34,0.58,0.61,0.87,0.7,0.76,0.78,0.69,0.71,0.97,0.45,0.01,0.66,0.69
ogre.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openfrag.csv,0.65,0.62,0.57,0.82,0.56,0.73,0.55,0.94,0.05,0.85,0.44,0.71,0.73,0.84,0.76,0.42,0.72,0.49,0.75
qdvdauthor.csv,0.63,0.64,0.7,1.11,0.62,0.8,0.57,0.79,0.54,0.96,0.05,0.74,0.81,0.74,0.55,0.79,0.65,0.48,0.69
qse.csv,0.63,0.63,0.55,1.0,0.83,0.68,0.68,0.03,0.66,0.72,0.68,0.8,0.76,0.84,0.22,0.62,0.71,0.7,0.54
reactos-mirror.csv,0.03,0.84,0.77,1.01,0.83,0.82,0.63,0.46,0.55,0.87,0.66,0.8,0.76,0.85,1.0,1.0,0.95,0.96,0.89
sandiaportals.csv,0.65,0.69,0.69,0.72,0.72,0.48,0.71,0.6,0.53,0.67,0.86,0.64,0.57,0.68,0.93,0.02,0.53,0.57,0.7
synergyspace.csv,0.92,0.83,0.79,0.78,1.0,0.8,0.74,0.64,0.78,1.0,0.75,0.95,0.08,0.91,1.0,0.86,0.81,0.98,0.78
uclmda.csv,0.94,0.91,0.88,1.0,0.83,0.64,0.82,0.99,0.96,0.0,0.95,0.74,0.59,1.0,0.67,1.0,0.99,1.01,0.98
