,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.15,0.62,0.8,0.59,0.09,0.26,0.72
elvishrayrenderer.csv,0.59,0.58,0.84,0.12,0.09,0.39,0.78
graphmak.csv,0.59,0.61,0.56,0.61,0.1,0.23,0.7
hazelcast.csv,0.53,0.56,0.95,0.55,0.1,0.42,0.59
jrdf.csv,0.2,0.34,0.65,0.04,0.07,0.6,0.43
pdfedit.csv,0.38,0.75,0.77,0.3,0.13,0.3,0.69
tart.csv,0.44,0.59,0.7,0.6,0.33,0.32,0.62
