,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.28,0.67,0.44,0.22,0.0,0.57,0.65,0.67,0.42,0.43,0.39,0.63,0.67,0.56,0.69
autowikibrowser.csv,0.3,0.68,0.43,0.2,0.48,0.55,0.68,0.6,0.43,0.42,0.32,0.6,0.69,0.52,0.73
blue-c.csv,0.21,0.56,0.55,0.21,0.0,0.52,0.69,0.83,0.27,0.38,0.36,0.57,0.57,0.46,0.64
dynalloy.csv,0.16,0.46,0.68,0.21,0.0,0.48,0.65,0.56,0.25,0.27,0.33,0.59,0.54,0.36,0.52
hydrogen.csv,0.34,0.63,0.53,0.19,0.41,0.53,0.66,0.71,0.57,0.38,0.17,0.57,0.62,0.35,0.7
jcae.csv,0.0,0.69,0.24,0.51,0.13,0.47,0.44,0.69,0.61,0.46,0.33,0.48,0.61,0.53,0.41
lphant.csv,0.32,0.63,0.46,0.2,0.42,0.5,0.65,0.69,0.38,0.4,0.32,0.71,0.71,0.52,0.75
nosleepsoftware.csv,0.43,0.34,0.0,0.0,0.59,0.06,0.09,0.0,0.0,0.0,0.0,0.08,0.17,0.21,0.38
qgo.csv,0.24,0.85,0.35,0.2,0.39,0.58,0.59,0.61,0.36,0.43,0.32,0.56,0.65,0.42,0.78
quickfast.csv,0.25,0.62,0.4,0.19,0.51,0.49,0.39,0.61,0.41,0.42,0.3,0.58,0.58,0.47,0.8
rhex.csv,0.44,0.62,0.25,0.13,0.59,0.38,0.35,0.27,0.46,0.23,0.14,0.09,0.37,0.39,0.49
rocrail.csv,0.38,0.57,0.62,0.15,0.5,0.53,0.7,0.69,0.45,0.39,0.32,0.55,0.58,0.62,0.64
virtuoso.csv,0.23,0.64,0.53,0.19,0.41,0.52,0.65,0.71,0.24,0.51,0.22,0.57,0.59,0.35,0.63
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0
yield.csv,0.24,0.65,0.6,0.19,0.42,0.53,0.76,0.77,0.38,0.44,0.29,0.61,0.62,0.46,0.73
