,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.71,1.0,0.52,0.69,0.47,1.0,1.0,0.75,0.62,0.63,0.08,0.88,1.0,0.17,0.93,0.33,0.0
amygdala.csv,0.77,0.92,0.57,0.5,0.33,1.0,0.63,0.75,0.54,1.0,0.09,0.93,0.79,0.24,1.0,0.64,0.07
chrysalis.csv,1.0,0.6,0.59,0.0,0.33,0.0,0.29,0.42,0.62,0.29,0.21,1.0,0.4,1.0,1.0,0.73,0.12
cme.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.89,0.91,0.57,0.0,0.33,0.2,0.5,0.34,0.8,0.4,0.11,0.9,0.8,0.27,1.0,1.0,0.17
ivef-sdk.csv,0.73,0.94,0.51,0.7,0.36,1.0,0.56,0.0,0.48,0.65,0.0,0.87,0.46,0.06,0.97,0.0,0.11
jmri.csv,0.75,0.89,0.98,0.4,0.32,0.68,0.39,0.4,0.46,0.56,0.11,0.89,0.55,0.16,0.97,0.44,0.11
jython.csv,0.67,0.96,0.52,0.68,0.33,0.96,0.53,1.0,0.51,0.59,0.12,0.88,0.58,0.13,0.98,0.71,0.11
kdenlive.csv,1.0,0.92,0.48,0.54,0.41,0.9,0.31,0.08,0.49,0.53,0.11,0.91,0.55,0.16,1.0,0.6,0.17
opentibia.csv,0.74,1.0,0.45,0.61,0.35,0.87,0.61,0.1,0.43,0.56,0.11,0.94,0.65,0.11,1.0,0.69,0.1
projectfactory.csv,0.69,0.86,0.48,0.65,0.34,0.67,0.55,0.1,1.0,0.57,0.13,0.97,0.62,0.22,0.98,0.69,0.06
runuomondains.csv,0.45,0.94,0.43,0.57,0.27,0.94,0.3,0.62,0.5,0.54,1.0,0.86,0.42,0.04,1.0,0.62,0.0
somap.csv,0.65,0.86,0.46,0.63,0.36,0.69,0.52,0.13,0.49,0.54,0.12,1.0,0.62,0.19,1.0,0.63,0.09
taverna.csv,0.7,0.95,0.48,1.0,1.0,0.5,0.56,0.57,0.54,0.79,0.27,1.0,0.57,0.15,0.94,1.0,0.13
tigermud.csv,0.58,0.79,0.4,0.72,0.36,1.0,0.64,0.42,0.56,0.38,0.13,0.93,0.97,0.09,0.96,0.66,0.14
x-ray-mule.csv,0.65,0.93,0.47,1.0,0.34,0.5,0.07,0.31,0.49,0.58,0.07,0.92,0.71,0.16,1.0,0.62,0.2
