,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.26,0.0,0.19,0.65,0.15,0.0,0.0,0.01,0.12,0.31,0.19,0.33,0.0,0.18,1.0,0.11,0.1
amygdala.csv,0.31,0.25,0.36,0.6,0.45,0.0,0.31,0.02,0.4,0.0,0.36,0.5,0.14,0.4,0.0,0.26,0.25
chrysalis.csv,0.0,0.17,0.14,0.0,0.04,0.37,0.14,0.13,0.19,0.14,0.25,0.0,0.29,0.0,0.0,0.21,0.29
cme.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.03,0.08,0.2,0.0,0.38,0.13,0.06,0.22,0.02,0.09,0.66,0.17,0.1,0.08,0.0,0.0,0.29
ivef-sdk.csv,0.46,0.25,0.5,0.65,0.66,0.0,0.66,0.0,0.72,0.37,0.0,1.0,0.33,0.51,1.0,0.0,0.6
jmri.csv,0.33,0.42,0.02,0.6,0.53,0.93,0.63,0.06,0.51,0.57,0.27,0.5,0.71,0.31,1.0,0.47,0.62
jython.csv,0.74,0.17,0.58,0.65,0.74,0.1,0.77,0.0,0.7,0.51,0.37,1.0,0.67,0.68,1.0,0.21,0.79
kdenlive.csv,0.0,0.33,0.44,0.6,0.42,0.07,0.63,0.92,0.58,0.43,0.42,0.67,0.43,0.57,0.0,0.63,0.48
opentibia.csv,0.54,0.0,0.47,0.95,0.53,0.2,0.46,0.99,0.37,0.77,0.56,0.5,0.76,0.52,0.0,0.74,0.37
projectfactory.csv,0.51,0.83,0.39,0.7,0.72,1.0,0.6,0.99,0.0,0.8,0.78,0.17,0.86,0.32,1.0,0.68,0.63
runuomondains.csv,0.15,0.08,0.12,0.5,0.21,0.07,0.2,0.02,0.02,0.17,0.0,0.33,0.33,0.2,0.0,0.16,0.29
somap.csv,0.9,1.0,0.91,0.85,0.92,1.0,0.86,1.0,0.93,0.91,0.98,0.0,1.0,0.84,0.0,1.0,0.98
taverna.csv,0.15,0.08,0.13,0.0,0.0,0.1,0.4,0.06,0.37,0.09,0.14,0.0,0.43,0.17,1.0,0.0,0.25
tigermud.csv,0.51,0.58,0.67,0.4,0.4,0.0,0.49,0.15,0.09,0.69,0.9,0.17,0.05,0.43,1.0,0.68,0.35
x-ray-mule.csv,0.38,0.17,0.49,0.0,0.4,0.13,0.37,0.06,0.65,0.43,0.22,0.5,0.24,0.69,0.0,0.47,0.15
