,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.24,0.27,0.72,0.3,0.04,0.93,0.32,0.25,0.53,0.14,0.24,0.04,0.22,0.0,0.04,0.0
amygdala.csv,0.58,0.46,0.56,0.4,0.46,0.09,0.6,0.46,0.53,0.96,0.28,0.52,0.36,0.62,0.31,0.31,0.23
chrysalis.csv,0.05,0.05,0.28,0.0,0.05,0.0,0.07,0.68,0.37,0.06,0.54,0.26,0.13,0.84,0.28,0.37,0.44
cme.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.13,0.15,0.34,0.0,0.4,0.01,0.07,0.77,0.12,0.06,0.53,0.14,0.27,0.18,0.56,0.98,0.62
ivef-sdk.csv,0.65,0.62,0.55,0.73,0.6,1.0,0.67,0.0,0.56,0.63,0.0,0.0,0.2,0.17,0.0,0.0,0.67
jmri.csv,0.56,0.49,0.96,0.29,0.48,0.27,0.41,0.31,0.49,0.6,0.29,0.35,0.44,0.34,0.0,0.24,0.66
jython.csv,0.58,0.63,0.63,0.7,0.52,0.98,0.57,1.0,0.6,0.63,0.41,0.0,0.48,0.46,0.0,0.34,0.57
kdenlive.csv,0.97,0.6,0.48,0.45,0.56,0.31,0.31,0.25,0.57,0.47,0.41,0.49,0.34,0.53,0.38,0.5,0.84
opentibia.csv,0.71,1.0,0.45,0.21,0.54,0.61,0.7,0.05,0.35,0.57,0.49,0.58,0.57,0.35,0.56,0.62,0.43
projectfactory.csv,0.6,0.44,0.43,0.63,0.56,0.0,0.66,0.05,0.98,0.55,0.55,0.44,0.42,0.47,0.0,0.65,0.39
runuomondains.csv,0.09,0.23,0.13,0.44,0.18,0.5,0.11,0.27,0.04,0.21,0.9,0.2,0.17,0.05,0.09,0.18,0.0
somap.csv,0.35,0.0,0.32,0.46,0.3,0.0,0.45,0.0,0.27,0.33,0.09,0.99,0.0,0.49,0.93,0.0,0.09
taverna.csv,0.24,0.27,0.16,0.2,0.94,0.05,0.56,0.6,0.51,0.34,0.43,0.28,0.37,0.18,0.0,0.11,0.44
tigermud.csv,0.41,0.34,0.45,0.68,0.46,1.0,0.79,0.75,0.16,0.37,0.36,0.22,0.85,0.25,0.0,0.6,0.61
x-ray-mule.csv,0.42,0.38,0.49,0.98,0.44,0.07,0.04,0.21,0.58,0.55,0.14,0.48,0.38,0.54,0.19,0.46,0.45
