,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.71,0.8,0.79,0.65,0.76,0.97,0.09,0.73,0.8,0.59,0.89,0.86,0.97,0.83,1.26,0.98,1.0
amygdala.csv,0.53,0.63,0.58,0.85,0.72,0.93,0.53,0.59,0.63,0.05,0.83,0.69,0.7,0.54,0.74,0.77,0.84
chrysalis.csv,0.96,0.98,0.78,1.0,0.96,1.07,0.95,0.39,0.69,0.96,0.56,0.78,0.93,0.19,0.76,0.7,0.67
cme.csv,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
hydrate.csv,0.89,0.88,0.73,1.0,0.73,0.99,0.94,0.32,0.9,0.95,0.76,0.89,0.78,0.86,0.5,0.03,0.49
ivef-sdk.csv,0.56,0.48,0.65,0.65,0.71,0.0,0.67,1.0,0.77,0.52,1.0,1.09,0.89,0.99,1.06,1.0,0.63
jmri.csv,0.57,0.67,0.05,0.95,0.74,0.94,0.85,0.73,0.72,0.67,0.8,0.83,0.86,0.77,1.13,0.92,0.65
jython.csv,0.76,0.44,0.65,0.65,0.79,0.1,0.78,0.0,0.73,0.6,0.73,1.06,0.81,0.83,1.03,0.73,0.79
kdenlive.csv,0.04,0.53,0.7,0.8,0.61,0.73,0.94,1.03,0.7,0.7,0.76,0.8,0.81,0.72,0.67,0.78,0.48
opentibia.csv,0.56,0.0,0.74,0.95,0.69,0.46,0.52,1.02,0.79,0.78,0.75,0.63,0.78,0.85,0.5,0.74,0.7
projectfactory.csv,0.63,0.87,0.71,0.71,0.76,1.0,0.64,1.02,0.03,0.8,0.79,0.63,0.87,0.64,1.0,0.69,0.87
runuomondains.csv,0.94,0.81,0.9,0.76,0.88,0.56,0.93,0.77,0.97,0.83,0.12,0.9,0.92,0.98,0.93,0.86,1.04
somap.csv,0.9,1.0,0.92,0.85,0.92,1.0,0.86,1.0,0.93,0.91,0.98,0.01,1.0,0.84,0.09,1.0,0.98
taverna.csv,0.82,0.78,0.88,0.83,0.07,0.96,0.61,0.46,0.63,0.72,0.64,0.76,0.78,0.87,1.23,0.91,0.65
tigermud.csv,0.79,0.89,0.84,0.5,0.68,0.0,0.49,0.31,0.88,0.91,0.9,0.82,0.18,0.89,1.14,0.73,0.53
x-ray-mule.csv,0.72,0.69,0.71,0.03,0.71,0.95,1.04,0.82,0.72,0.62,0.9,0.73,0.7,0.77,0.84,0.72,0.62
