,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.83,0.97,0.21,0.56,1.0,0.93,0.67,0.9,0.56,0.38,0.2,0.82,0.73,0.86,0.64
autowikibrowser.csv,0.58,0.7,0.35,0.89,0.62,0.52,0.44,0.47,0.62,0.93,0.6,0.5,0.98,0.82,0.72
blue-c.csv,0.5,0.53,0.77,0.89,0.25,0.78,0.75,0.93,0.94,0.79,1.0,0.82,0.68,0.55,0.53
dynalloy.csv,0.92,0.73,0.92,1.0,0.25,0.59,0.9,0.63,0.88,0.74,0.9,0.95,0.93,0.64,0.83
hydrogen.csv,0.33,0.43,0.12,0.56,0.19,0.3,0.19,0.2,1.0,0.52,0.3,0.18,0.36,0.64,0.28
jcae.csv,0.0,0.13,0.04,1.0,0.0,0.21,0.05,0.23,0.5,0.07,0.0,0.18,0.09,0.36,0.02
lphant.csv,0.58,0.67,0.42,1.0,0.88,0.67,0.62,0.77,0.69,0.93,0.5,0.91,0.59,0.95,0.62
nosleepsoftware.csv,0.67,0.53,0.0,0.56,1.0,0.29,0.13,0.13,0.44,0.5,0.2,0.14,0.27,0.68,0.57
qgo.csv,0.58,0.97,0.44,0.67,0.62,0.57,0.51,0.5,0.5,0.62,0.5,0.73,0.73,0.45,0.51
quickfast.csv,0.83,0.93,0.5,1.0,0.62,0.71,0.32,0.77,0.88,0.71,0.6,0.86,0.66,0.91,0.96
rhex.csv,0.83,0.53,0.17,0.44,0.56,0.34,0.22,0.23,0.44,0.33,0.2,0.14,0.64,0.23,0.19
rocrail.csv,0.42,0.27,0.23,0.44,0.0,0.44,0.32,0.23,0.62,0.5,0.4,0.32,0.34,1.0,0.21
virtuoso.csv,1.0,0.87,0.83,0.89,1.0,0.93,0.95,1.0,0.94,0.95,0.7,1.0,0.91,0.95,0.36
xined.csv,0.5,0.87,0.71,0.44,0.38,0.73,0.59,0.27,0.69,0.31,1.0,0.14,0.41,0.59,0.38
yield.csv,0.92,0.9,0.71,0.89,0.94,0.83,0.98,0.83,0.94,0.71,0.9,0.86,0.84,0.95,0.77
