,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.85,0.25,0.59,0.66,0.94,0.31,0.0,0.58,0.42,0.22,0.63,0.47,0.36,0.65
autowikibrowser.csv,0.58,0.68,0.39,0.77,0.66,0.55,0.48,0.51,0.65,0.65,0.6,0.54,0.98,0.77,0.74
blue-c.csv,0.5,0.54,0.56,0.77,0.29,0.52,0.66,0.94,0.51,0.43,0.75,0.61,0.63,0.57,0.52
dynalloy.csv,0.6,0.63,0.93,0.05,0.26,0.6,0.58,0.61,0.51,0.41,0.32,0.24,0.54,0.44,0.5
hydrogen.csv,0.38,0.48,0.14,0.59,0.22,0.34,0.22,0.24,1.0,0.55,0.34,0.21,0.4,0.65,0.32
jcae.csv,0.0,0.16,0.05,1.0,0.0,0.25,0.06,0.27,0.55,0.09,0.0,0.22,0.11,0.41,0.02
lphant.csv,0.57,0.63,0.44,0.75,0.76,0.64,0.64,0.78,0.69,0.44,0.52,0.93,0.59,0.81,0.63
nosleepsoftware.csv,0.68,0.57,0.0,0.58,0.99,0.33,0.16,0.15,0.49,0.52,0.24,0.17,0.31,0.64,0.61
qgo.csv,0.6,0.98,0.47,0.63,0.62,0.59,0.55,0.54,0.54,0.6,0.52,0.7,0.69,0.49,0.55
quickfast.csv,0.63,0.71,0.48,0.54,0.56,0.61,0.36,0.77,0.7,0.58,0.55,0.39,0.55,0.73,0.96
rhex.csv,0.86,0.57,0.2,0.48,0.58,0.38,0.26,0.27,0.49,0.38,0.24,0.17,0.58,0.27,0.23
rocrail.csv,0.47,0.31,0.27,0.47,0.0,0.48,0.37,0.27,0.66,0.53,0.44,0.37,0.39,1.0,0.25
virtuoso.csv,0.49,0.43,0.26,0.45,0.09,0.24,0.27,0.0,0.54,0.96,0.69,0.0,0.27,0.24,0.38
xined.csv,0.53,0.0,0.53,0.47,0.43,0.44,0.33,0.31,0.65,0.35,1.0,0.17,0.44,0.61,0.41
yield.csv,0.66,0.84,0.66,0.59,0.66,0.62,0.98,0.38,0.78,0.63,0.52,0.57,0.63,0.33,0.73
