,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,18.0,7.0,4.0,11.0,1.0,0.0,8.0,2.0,16.0,4.0,23.0,0.0,17.0,19.0,0.0
autowikibrowser.csv,5.0,1.0,2.0,10.0,0.0,3.0,1.0,1.0,10.0,22.0,7.0,2.0,0.0,0.0,0.0
blue-c.csv,5.0,4.0,2.0,19.0,1.0,7.0,3.0,0.0,5.0,29.0,0.0,6.0,3.0,13.0,10.0
dynalloy.csv,9.0,4.0,0.0,48.0,6.0,4.0,5.0,0.0,5.0,29.0,0.0,11.0,8.0,14.0,1.0
hydrogen.csv,2.0,1.0,0.0,5.0,8.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,11.0,6.0,0.0
jcae.csv,92.0,0.0,0.0,0.0,62.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,2.0,0.0
lphant.csv,14.0,6.0,2.0,22.0,1.0,8.0,4.0,1.0,12.0,28.0,0.0,0.0,9.0,5.0,1.0
nosleepsoftware.csv,9.0,5.0,142.0,10.0,1.0,0.0,9.0,11.0,3.0,7.0,5.0,0.0,1.0,19.0,0.0
qgo.csv,2.0,0.0,0.0,28.0,4.0,2.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,14.0,0.0
quickfast.csv,22.0,3.0,1.0,33.0,13.0,5.0,3.0,0.0,9.0,20.0,0.0,0.0,9.0,16.0,0.0
rhex.csv,0.0,1.0,0.0,12.0,12.0,0.0,4.0,0.0,3.0,0.0,3.0,2.0,18.0,4.0,0.0
rocrail.csv,5.0,1.0,1.0,17.0,62.0,4.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0
virtuoso.csv,17.0,13.0,2.0,44.0,1.0,8.0,8.0,2.0,3.0,0.0,5.0,0.0,15.0,36.0,8.0
xined.csv,6.0,11.0,2.0,18.0,0.0,8.0,8.0,2.0,3.0,10.0,0.0,0.0,8.0,6.0,0.0
yield.csv,18.0,1.0,1.0,30.0,1.0,5.0,0.0,0.0,18.0,2.0,0.0,9.0,13.0,18.0,0.0
