,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,99.0,289.5,1220.0,820.0,260.5,96.5,287.0,196.5,98.5,473.5,97.5,164.0
archive-crawler.csv,1063.5,95.5,249.0,93.5,637.5,89.5,394.0,275.5,96.5,178.0,97.5,98.5
blue-c.csv,295.0,485.5,1298.5,1178.0,549.5,96.5,196.5,196.5,96.5,379.0,97.5,197.5
dynalloy.csv,99.0,485.5,971.0,1399.0,1547.0,93.5,675.5,293.0,294.0,457.5,97.5,197.5
jcae.csv,619.0,288.5,261.5,86.5,81.5,96.5,97.5,85.5,286.0,380.0,92.5,80.5
kmatplot.csv,196.5,388.0,1061.5,198.0,81.5,96.5,766.5,733.5,197.5,380.0,97.5,197.5
mscore.csv,99.0,389.0,1776.5,190.0,825.0,96.5,196.5,196.5,197.5,473.5,97.5,197.5
nosleepsoftware.csv,200.5,89.0,119.5,190.0,78.5,43.5,382.0,52.5,145.0,332.5,435.0,93.5
openmalaria.csv,295.0,389.0,1776.5,190.0,358.0,96.5,295.0,97.5,197.5,473.5,97.5,98.5
popeye-chess.csv,196.5,389.0,1431.5,93.5,278.0,96.5,295.0,80.5,195.5,285.5,97.5,197.5
riff-evolve.csv,97.5,389.0,1227.5,772.0,263.5,96.5,189.0,176.0,195.5,189.0,97.5,98.5
virtuoso.csv,99.0,485.5,1776.5,198.0,166.0,96.5,493.0,196.5,197.5,473.5,97.5,175.0
